payment_id,customer_id,payment_date,amount,payment_method,payment_status,currency,revenue_month
50,16303,07-02-2023,99,UPI,Pending,EUR,2023-02
51,46059,20-04-2023,35,Credit Card,Pending,EUR,2023-04
52,28760,07-05-2022,15,PayPal,Pending,EUR,2022-05
53,44117,31-01-2022,199,PayPal,Completed,INR,2022-01
54,3384,26-08-2024,15,Credit Card,Completed,USD,2024-08
55,39332,23-03-2022,15,PayPal,Completed,USD,2022-03
56,18710,02-04-2023,15,Credit Card,Pending,USD,2023-04
57,8832,09-03-2024,35,Credit Card,Pending,EUR,2024-03
58,32154,14-09-2024,35,UPI,Failed,EUR,2024-09
59,18445,19-10-2023,199,Bank Transfer,Pending,EUR,2023-10
60,42058,24-12-2024,199,UPI,Pending,USD,2024-12
61,35507,12-08-2023,199,Bank Transfer,Failed,USD,2023-08
62,43522,16-01-2024,35,Credit Card,Pending,INR,2024-01
63,33806,14-03-2023,199,Bank Transfer,Completed,USD,2023-03
64,40059,29-03-2022,199,Bank Transfer,Completed,EUR,2022-03
65,35264,03-05-2023,15,Bank Transfer,Completed,EUR,2023-05
66,7262,07-11-2024,99,PayPal,Pending,INR,2024-11
67,44704,04-04-2022,15,PayPal,Failed,EUR,2022-04
68,38208,26-03-2022,199,PayPal,Completed,EUR,2022-03
69,20330,21-02-2022,199,Credit Card,Completed,INR,2022-02
70,10863,21-01-2022,99,PayPal,Pending,INR,2022-01
71,45126,15-10-2022,15,Bank Transfer,Completed,EUR,2022-10
72,2736,08-05-2023,199,PayPal,Failed,INR,2023-05
73,48746,26-10-2024,15,UPI,Completed,USD,2024-10
74,12022,04-04-2024,99,Bank Transfer,Pending,EUR,2024-04
75,10774,20-12-2023,35,PayPal,Failed,INR,2023-12
76,13489,20-07-2022,99,PayPal,Pending,EUR,2022-07
77,5495,25-02-2025,99,Bank Transfer,Failed,INR,2025-02
78,19230,25-12-2024,99,Credit Card,Pending,EUR,2024-12
79,31318,21-12-2023,199,PayPal,Failed,USD,2023-12
80,31393,23-05-2024,199,Credit Card,Failed,EUR,2024-05
81,1199,09-12-2023,15,Credit Card,Completed,USD,2023-12
82,3549,08-05-2023,35,PayPal,Pending,USD,2023-05
83,36218,24-01-2022,35,Credit Card,Completed,INR,2022-01
84,34856,27-09-2024,199,PayPal,Completed,EUR,2024-09
85,37117,25-04-2023,199,Credit Card,Failed,INR,2023-04
86,19588,24-11-2023,15,PayPal,Completed,USD,2023-11
87,44402,30-01-2025,199,Credit Card,Completed,EUR,2025-01
88,33550,23-07-2024,15,Bank Transfer,Pending,USD,2024-07
89,18780,24-11-2023,35,UPI,Completed,EUR,2023-11
90,35107,12-02-2023,15,UPI,Completed,USD,2023-02
91,23674,16-08-2023,15,Credit Card,Completed,EUR,2023-08
92,1646,22-07-2022,199,Bank Transfer,Completed,EUR,2022-07
93,39792,01-12-2023,199,Credit Card,Failed,USD,2023-12
94,29918,29-09-2022,35,Bank Transfer,Completed,INR,2022-09
95,24287,22-07-2023,99,UPI,Failed,USD,2023-07
96,42703,23-03-2025,15,UPI,Completed,EUR,2025-03
97,16491,10-02-2022,15,Credit Card,Pending,USD,2022-02
98,15108,31-10-2023,199,PayPal,Completed,USD,2023-10
99,35316,02-01-2024,199,PayPal,Completed,INR,2024-01
100,9367,28-06-2024,15,Credit Card,Completed,INR,2024-06
101,10378,14-09-2022,199,Bank Transfer,Failed,EUR,2022-09
102,10813,14-03-2022,99,PayPal,Pending,USD,2022-03
103,18411,27-12-2022,199,Bank Transfer,Failed,EUR,2022-12
104,46607,07-03-2024,15,PayPal,Pending,USD,2024-03
105,16428,16-01-2022,99,Bank Transfer,Failed,USD,2022-01
106,29081,14-05-2024,99,Bank Transfer,Pending,USD,2024-05
107,38217,10-01-2022,15,Bank Transfer,Pending,USD,2022-01
108,21667,12-11-2024,99,Bank Transfer,Completed,EUR,2024-11
109,41091,03-05-2022,199,Bank Transfer,Pending,EUR,2022-05
110,3331,11-03-2023,35,UPI,Failed,USD,2023-03
111,41623,19-02-2022,99,UPI,Completed,USD,2022-02
112,18240,14-03-2022,35,Credit Card,Pending,INR,2022-03
113,48095,17-01-2023,35,PayPal,Pending,USD,2023-01
114,25059,20-11-2022,15,UPI,Failed,USD,2022-11
115,28194,22-08-2023,99,UPI,Failed,USD,2023-08
116,24287,15-09-2024,15,UPI,Completed,EUR,2024-09
117,9053,13-08-2024,199,UPI,Completed,USD,2024-08
118,11147,14-07-2024,35,PayPal,Failed,INR,2024-07
119,24923,25-07-2022,99,UPI,Pending,INR,2022-07
120,32044,21-03-2025,99,UPI,Completed,USD,2025-03
121,34133,17-08-2024,35,PayPal,Completed,INR,2024-08
122,2333,30-07-2024,35,Credit Card,Pending,EUR,2024-07
123,13472,06-07-2023,199,UPI,Completed,EUR,2023-07
124,10579,24-03-2023,199,PayPal,Completed,EUR,2023-03
125,31027,05-06-2022,199,UPI,Failed,USD,2022-06
126,9665,17-05-2024,199,Credit Card,Failed,INR,2024-05
127,38100,24-03-2022,15,UPI,Pending,USD,2022-03
128,45331,04-01-2024,199,PayPal,Pending,USD,2024-01
129,15899,14-02-2025,35,UPI,Failed,EUR,2025-02
130,16859,12-02-2023,35,Credit Card,Completed,USD,2023-02
131,43426,22-09-2024,15,PayPal,Failed,EUR,2024-09
132,39148,01-03-2022,35,Bank Transfer,Pending,INR,2022-03
133,28420,25-09-2024,99,UPI,Failed,EUR,2024-09
134,38988,03-01-2025,15,Bank Transfer,Failed,USD,2025-01
135,15459,06-05-2022,15,Bank Transfer,Failed,INR,2022-05
136,38454,17-10-2023,35,UPI,Completed,EUR,2023-10
137,42585,17-12-2024,15,PayPal,Completed,EUR,2024-12
138,17828,01-06-2022,199,Credit Card,Completed,INR,2022-06
139,46976,29-03-2025,35,PayPal,Completed,EUR,2025-03
140,49426,02-06-2024,99,Bank Transfer,Pending,EUR,2024-06
141,17202,07-06-2023,99,Credit Card,Failed,INR,2023-06
142,29423,29-12-2024,15,UPI,Failed,INR,2024-12
143,42386,11-08-2022,15,Bank Transfer,Completed,EUR,2022-08
144,47190,28-02-2025,35,UPI,Failed,USD,2025-02
145,46581,18-04-2022,35,Credit Card,Failed,EUR,2022-04
146,42003,16-04-2023,35,Bank Transfer,Failed,INR,2023-04
147,23418,19-07-2024,99,PayPal,Completed,INR,2024-07
148,14403,29-06-2023,199,UPI,Failed,EUR,2023-06
149,2481,26-07-2024,99,Bank Transfer,Failed,EUR,2024-07
150,10765,02-01-2022,99,Credit Card,Failed,USD,2022-01
151,18653,02-04-2022,35,UPI,Completed,USD,2022-04
152,3546,10-02-2023,35,Credit Card,Failed,EUR,2023-02
153,45543,07-10-2024,199,PayPal,Pending,USD,2024-10
154,22881,01-03-2022,99,PayPal,Failed,INR,2022-03
155,7227,26-01-2023,199,Bank Transfer,Failed,USD,2023-01
156,2254,04-02-2022,35,Bank Transfer,Completed,EUR,2022-02
157,46389,20-08-2023,35,Bank Transfer,Failed,USD,2023-08
158,15204,28-01-2024,99,Bank Transfer,Completed,USD,2024-01
159,48686,01-08-2024,99,UPI,Completed,USD,2024-08
160,21197,22-05-2022,15,UPI,Failed,INR,2022-05
161,33975,02-03-2023,99,Credit Card,Failed,INR,2023-03
162,26852,11-04-2024,199,Bank Transfer,Failed,EUR,2024-04
163,8375,20-02-2023,99,Bank Transfer,Failed,USD,2023-02
164,30174,11-05-2024,99,UPI,Completed,INR,2024-05
165,33581,03-03-2025,15,UPI,Failed,EUR,2025-03
166,45346,24-01-2022,199,PayPal,Failed,USD,2022-01
167,23554,07-11-2022,99,UPI,Pending,EUR,2022-11
168,23004,27-08-2024,35,UPI,Pending,USD,2024-08
169,5999,18-06-2022,15,Credit Card,Completed,EUR,2022-06
170,24606,26-07-2022,199,Bank Transfer,Failed,USD,2022-07
171,27728,18-02-2024,35,Credit Card,Completed,USD,2024-02
172,8300,14-02-2023,199,UPI,Pending,EUR,2023-02
173,39047,28-05-2024,199,PayPal,Failed,EUR,2024-05
174,20406,31-08-2023,15,PayPal,Pending,INR,2023-08
175,4764,24-05-2024,35,PayPal,Pending,USD,2024-05
176,8228,05-08-2022,15,Credit Card,Failed,INR,2022-08
177,33937,20-03-2024,15,Bank Transfer,Failed,EUR,2024-03
178,21432,13-12-2022,99,Credit Card,Failed,INR,2022-12
179,2738,14-05-2022,99,UPI,Pending,USD,2022-05
180,17106,03-11-2022,99,UPI,Completed,INR,2022-11
181,23075,29-05-2024,35,PayPal,Pending,INR,2024-05
182,23870,09-02-2024,15,Bank Transfer,Completed,EUR,2024-02
183,10772,21-06-2022,199,UPI,Failed,USD,2022-06
184,31956,16-03-2025,99,UPI,Failed,USD,2025-03
185,35266,26-07-2023,99,UPI,Pending,INR,2023-07
186,13846,10-06-2024,199,UPI,Failed,USD,2024-06
187,38566,26-05-2022,199,UPI,Pending,USD,2022-05
188,26997,14-12-2022,15,PayPal,Completed,EUR,2022-12
189,26179,03-10-2023,199,Credit Card,Failed,EUR,2023-10
190,19630,13-02-2023,35,Credit Card,Completed,USD,2023-02
191,18803,06-04-2025,99,PayPal,Failed,USD,2025-04
192,5359,22-12-2022,15,PayPal,Failed,INR,2022-12
193,36171,24-02-2025,199,PayPal,Completed,USD,2025-02
194,21836,12-03-2022,199,PayPal,Completed,INR,2022-03
195,1966,16-03-2024,199,UPI,Completed,USD,2024-03
196,36290,03-09-2024,35,Credit Card,Completed,INR,2024-09
197,40614,05-11-2022,35,UPI,Pending,INR,2022-11
198,43719,04-01-2025,15,Credit Card,Failed,USD,2025-01
199,14338,04-01-2024,15,Credit Card,Pending,USD,2024-01
200,11445,07-10-2022,15,PayPal,Failed,USD,2022-10
201,35910,02-04-2023,99,Credit Card,Failed,USD,2023-04
202,9635,17-07-2022,99,Credit Card,Completed,INR,2022-07
203,47844,25-12-2024,35,UPI,Pending,INR,2024-12
204,7520,04-12-2024,35,UPI,Failed,INR,2024-12
205,6843,23-10-2023,35,UPI,Completed,INR,2023-10
206,9046,25-06-2024,35,UPI,Pending,INR,2024-06
207,20849,11-10-2024,15,Bank Transfer,Pending,INR,2024-10
208,9777,01-12-2022,199,UPI,Completed,EUR,2022-12
209,5239,28-06-2023,15,PayPal,Pending,INR,2023-06
210,24656,08-06-2024,199,UPI,Pending,EUR,2024-06
211,42144,28-03-2022,99,Credit Card,Failed,EUR,2022-03
212,12558,28-01-2023,199,Credit Card,Pending,INR,2023-01
213,41469,15-05-2023,15,UPI,Pending,USD,2023-05
214,45189,16-04-2024,15,Credit Card,Failed,USD,2024-04
215,46110,08-05-2022,199,Bank Transfer,Failed,INR,2022-05
216,16985,23-03-2024,99,PayPal,Completed,EUR,2024-03
217,26761,21-08-2022,99,PayPal,Completed,EUR,2022-08
218,48040,15-07-2023,199,Credit Card,Pending,INR,2023-07
219,32150,24-02-2025,99,Credit Card,Failed,INR,2025-02
220,1090,07-09-2024,15,UPI,Failed,USD,2024-09
221,26199,03-05-2024,15,Bank Transfer,Completed,EUR,2024-05
222,40580,10-01-2023,199,PayPal,Pending,USD,2023-01
223,40275,17-01-2025,15,Bank Transfer,Failed,INR,2025-01
224,1954,26-04-2024,199,UPI,Pending,USD,2024-04
225,2634,31-01-2022,15,Credit Card,Failed,INR,2022-01
226,9896,01-02-2025,99,PayPal,Failed,EUR,2025-02
227,16187,27-07-2023,35,Bank Transfer,Pending,EUR,2023-07
228,26395,14-05-2023,15,UPI,Pending,INR,2023-05
229,5415,08-07-2023,35,PayPal,Pending,INR,2023-07
230,4379,18-06-2024,15,PayPal,Failed,EUR,2024-06
231,5818,28-10-2022,15,PayPal,Completed,INR,2022-10
232,31304,16-02-2022,15,Credit Card,Pending,USD,2022-02
233,17978,05-02-2024,199,Credit Card,Completed,INR,2024-02
234,39920,31-12-2022,99,Credit Card,Failed,USD,2022-12
235,469,08-03-2023,35,Credit Card,Completed,USD,2023-03
236,16301,15-09-2022,99,Credit Card,Failed,INR,2022-09
237,17874,10-10-2024,199,UPI,Completed,EUR,2024-10
238,44227,05-12-2023,15,Bank Transfer,Completed,INR,2023-12
239,13684,05-09-2024,199,Bank Transfer,Completed,INR,2024-09
240,18990,17-09-2023,35,UPI,Failed,EUR,2023-09
241,20876,09-02-2024,35,UPI,Failed,USD,2024-02
242,36489,04-01-2025,35,PayPal,Completed,USD,2025-01
243,23379,02-09-2024,99,PayPal,Completed,USD,2024-09
244,26654,24-05-2022,99,Credit Card,Failed,USD,2022-05
245,31257,15-06-2023,35,UPI,Pending,USD,2023-06
246,32882,05-11-2023,15,UPI,Completed,USD,2023-11
247,41657,01-02-2022,199,Bank Transfer,Completed,USD,2022-02
248,14223,05-02-2024,15,UPI,Failed,INR,2024-02
249,32903,26-11-2023,99,Credit Card,Pending,USD,2023-11
250,11048,07-11-2022,99,Bank Transfer,Completed,USD,2022-11
251,21563,05-10-2024,99,Bank Transfer,Failed,INR,2024-10
252,36469,17-03-2023,199,Bank Transfer,Pending,USD,2023-03
253,33682,20-08-2022,35,Credit Card,Failed,USD,2022-08
254,11805,11-08-2023,99,Credit Card,Completed,USD,2023-08
255,30993,15-09-2022,35,PayPal,Failed,INR,2022-09
256,20824,06-11-2023,199,Credit Card,Failed,EUR,2023-11
257,15565,11-10-2023,35,PayPal,Completed,USD,2023-10
258,22947,06-03-2022,15,UPI,Completed,USD,2022-03
259,2754,15-12-2024,35,UPI,Failed,INR,2024-12
260,48053,08-09-2024,15,PayPal,Pending,USD,2024-09
261,38885,21-08-2023,35,Credit Card,Pending,INR,2023-08
262,40907,24-06-2022,199,Credit Card,Pending,USD,2022-06
263,17437,21-11-2024,199,PayPal,Failed,EUR,2024-11
264,46732,03-10-2024,35,Bank Transfer,Completed,INR,2024-10
265,24749,05-02-2024,15,Bank Transfer,Pending,INR,2024-02
266,37672,25-01-2023,199,PayPal,Pending,USD,2023-01
267,10788,20-01-2024,99,UPI,Completed,USD,2024-01
268,45996,22-10-2023,35,UPI,Completed,EUR,2023-10
269,31738,20-07-2024,199,UPI,Completed,USD,2024-07
270,39508,23-07-2022,99,Credit Card,Failed,EUR,2022-07
271,25408,21-05-2022,35,Credit Card,Completed,EUR,2022-05
272,39432,14-02-2022,99,Bank Transfer,Failed,INR,2022-02
273,17048,14-07-2023,99,PayPal,Pending,USD,2023-07
274,41421,26-08-2023,199,Bank Transfer,Failed,USD,2023-08
275,34995,02-10-2023,199,PayPal,Failed,EUR,2023-10
276,17504,10-11-2022,15,UPI,Completed,INR,2022-11
277,13685,11-09-2022,35,PayPal,Failed,USD,2022-09
278,34084,13-06-2024,35,Bank Transfer,Failed,INR,2024-06
279,9520,29-12-2023,35,Bank Transfer,Failed,USD,2023-12
280,8023,11-04-2022,15,UPI,Pending,USD,2022-04
281,35520,13-11-2022,15,Bank Transfer,Pending,USD,2022-11
282,14725,12-05-2022,35,Bank Transfer,Completed,USD,2022-05
283,3358,23-03-2025,199,Credit Card,Pending,EUR,2025-03
284,23207,03-11-2023,199,Credit Card,Failed,INR,2023-11
285,36446,28-11-2023,99,Bank Transfer,Failed,INR,2023-11
286,26672,08-07-2022,15,Credit Card,Failed,USD,2022-07
287,4714,17-02-2025,199,PayPal,Failed,INR,2025-02
288,46653,20-02-2022,99,UPI,Failed,INR,2022-02
289,22442,27-12-2024,199,Bank Transfer,Pending,EUR,2024-12
290,26751,19-04-2023,15,UPI,Pending,EUR,2023-04
291,3792,12-01-2022,35,Bank Transfer,Pending,EUR,2022-01
292,15775,12-12-2023,35,PayPal,Failed,INR,2023-12
293,10984,02-09-2022,35,UPI,Pending,USD,2022-09
294,10307,03-04-2024,99,Credit Card,Completed,EUR,2024-04
295,4203,01-04-2024,99,Bank Transfer,Completed,INR,2024-04
296,34151,09-11-2024,199,Credit Card,Failed,EUR,2024-11
297,48210,26-07-2022,35,Bank Transfer,Failed,USD,2022-07
298,27234,02-03-2024,15,Bank Transfer,Failed,USD,2024-03
299,26156,09-02-2023,35,Credit Card,Pending,USD,2023-02
300,27947,11-01-2025,35,PayPal,Completed,INR,2025-01
301,49674,26-02-2023,35,Bank Transfer,Completed,INR,2023-02
302,25324,10-05-2022,99,PayPal,Completed,INR,2022-05
303,43241,30-08-2022,15,Credit Card,Completed,EUR,2022-08
304,3031,07-10-2023,35,PayPal,Pending,USD,2023-10
305,25640,25-07-2023,35,PayPal,Pending,EUR,2023-07
306,24888,05-01-2023,199,Credit Card,Failed,USD,2023-01
307,28641,24-05-2023,99,Credit Card,Failed,USD,2023-05
308,11790,15-01-2024,35,Bank Transfer,Pending,INR,2024-01
309,17767,06-08-2024,199,Credit Card,Completed,INR,2024-08
310,43089,25-08-2024,35,Bank Transfer,Completed,INR,2024-08
311,43373,17-05-2024,15,Credit Card,Pending,INR,2024-05
312,20279,20-06-2023,35,UPI,Failed,EUR,2023-06
313,36833,01-11-2023,99,PayPal,Completed,USD,2023-11
314,49523,10-12-2023,99,UPI,Pending,USD,2023-12
315,13306,20-07-2023,199,Credit Card,Pending,USD,2023-07
316,49544,30-03-2022,99,Credit Card,Pending,USD,2022-03
317,20276,03-02-2022,35,Bank Transfer,Pending,INR,2022-02
318,47182,20-04-2023,35,Credit Card,Failed,USD,2023-04
319,34438,12-02-2025,99,PayPal,Completed,USD,2025-02
320,29961,11-06-2023,199,PayPal,Pending,USD,2023-06
321,43625,27-03-2022,199,UPI,Pending,EUR,2022-03
322,30294,30-01-2024,99,UPI,Pending,USD,2024-01
323,26996,17-07-2023,99,UPI,Pending,EUR,2023-07
324,20793,09-02-2023,35,UPI,Failed,USD,2023-02
325,39331,27-02-2023,199,Credit Card,Pending,USD,2023-02
326,8607,03-06-2024,99,PayPal,Failed,EUR,2024-06
327,2000,25-01-2024,35,Bank Transfer,Pending,EUR,2024-01
328,33400,22-02-2023,99,Credit Card,Completed,EUR,2023-02
329,48742,12-09-2022,199,Credit Card,Failed,INR,2022-09
330,34992,07-05-2022,15,Credit Card,Pending,USD,2022-05
331,9405,11-09-2022,15,Credit Card,Completed,EUR,2022-09
332,25276,21-04-2024,15,Credit Card,Pending,EUR,2024-04
333,32425,02-04-2024,15,UPI,Completed,INR,2024-04
334,8223,15-10-2022,15,PayPal,Failed,USD,2022-10
335,18029,27-07-2024,15,Credit Card,Failed,INR,2024-07
336,42602,13-01-2024,99,Credit Card,Failed,INR,2024-01
337,5389,30-12-2022,199,UPI,Failed,INR,2022-12
338,36023,25-01-2025,35,UPI,Failed,INR,2025-01
339,18572,13-06-2022,15,UPI,Pending,INR,2022-06
340,12330,27-04-2023,15,Credit Card,Completed,INR,2023-04
341,37519,17-05-2023,15,PayPal,Pending,EUR,2023-05
342,35133,31-07-2024,15,Bank Transfer,Failed,USD,2024-07
343,17453,11-02-2022,35,Credit Card,Completed,USD,2022-02
344,24375,24-08-2022,199,UPI,Failed,INR,2022-08
345,28463,15-01-2023,35,Bank Transfer,Failed,USD,2023-01
346,36049,15-08-2022,15,Bank Transfer,Completed,INR,2022-08
347,45895,01-12-2024,199,UPI,Pending,INR,2024-12
348,26341,11-10-2023,99,Credit Card,Completed,USD,2023-10
349,15313,18-07-2022,99,Bank Transfer,Completed,EUR,2022-07
350,44897,04-08-2023,35,Credit Card,Pending,EUR,2023-08
351,14531,23-08-2022,99,PayPal,Completed,INR,2022-08
352,44282,06-05-2024,35,PayPal,Failed,INR,2024-05
353,3396,20-03-2022,199,PayPal,Completed,INR,2022-03
354,13143,01-04-2024,199,Bank Transfer,Completed,INR,2024-04
355,5646,06-11-2023,199,UPI,Failed,EUR,2023-11
356,5581,25-12-2023,99,UPI,Failed,USD,2023-12
357,36488,16-03-2025,15,Credit Card,Pending,USD,2025-03
358,9038,11-07-2024,35,UPI,Completed,INR,2024-07
359,8904,17-12-2024,35,Bank Transfer,Failed,INR,2024-12
360,42015,04-10-2024,99,Credit Card,Completed,INR,2024-10
361,12647,21-01-2023,199,UPI,Failed,USD,2023-01
362,8010,19-03-2022,35,PayPal,Pending,INR,2022-03
363,19947,27-03-2024,99,Bank Transfer,Pending,EUR,2024-03
364,36628,31-03-2023,199,PayPal,Pending,EUR,2023-03
365,23025,28-03-2022,99,Bank Transfer,Failed,EUR,2022-03
366,5748,11-02-2022,199,Credit Card,Pending,EUR,2022-02
367,40422,17-01-2025,35,UPI,Pending,USD,2025-01
368,47565,30-08-2023,15,Bank Transfer,Failed,INR,2023-08
369,11641,04-07-2024,15,Credit Card,Failed,INR,2024-07
370,44781,13-02-2024,199,UPI,Failed,USD,2024-02
371,33813,29-06-2024,99,PayPal,Pending,USD,2024-06
372,43527,27-09-2022,35,Credit Card,Completed,INR,2022-09
373,32036,28-03-2024,99,Credit Card,Pending,USD,2024-03
374,858,01-07-2023,35,Bank Transfer,Failed,EUR,2023-07
375,2434,03-04-2024,99,Bank Transfer,Pending,USD,2024-04
376,42755,07-08-2022,35,Credit Card,Completed,INR,2022-08
377,44150,01-06-2024,99,Bank Transfer,Completed,USD,2024-06
378,19192,05-03-2025,35,PayPal,Failed,INR,2025-03
379,23465,29-12-2024,35,Bank Transfer,Failed,USD,2024-12
380,6733,29-03-2022,15,Bank Transfer,Completed,INR,2022-03
381,23555,16-02-2024,35,PayPal,Failed,EUR,2024-02
382,4745,10-12-2022,199,PayPal,Failed,USD,2022-12
383,42960,14-03-2025,199,PayPal,Pending,INR,2025-03
384,21579,17-10-2022,35,Bank Transfer,Failed,EUR,2022-10
385,31781,31-05-2023,35,Credit Card,Pending,EUR,2023-05
386,48271,14-03-2022,199,PayPal,Pending,INR,2022-03
387,43569,13-09-2024,35,Credit Card,Failed,EUR,2024-09
388,33918,17-05-2024,199,Bank Transfer,Completed,USD,2024-05
389,23433,07-12-2023,35,Bank Transfer,Failed,USD,2023-12
390,1734,04-04-2022,199,PayPal,Pending,INR,2022-04
391,42201,05-08-2022,35,PayPal,Completed,INR,2022-08
392,27333,19-04-2024,15,PayPal,Failed,INR,2024-04
393,24629,09-07-2023,35,Bank Transfer,Pending,INR,2023-07
394,31618,17-08-2024,15,Credit Card,Failed,EUR,2024-08
395,43952,11-05-2022,15,Credit Card,Failed,EUR,2022-05
396,44921,24-05-2024,15,Credit Card,Completed,INR,2024-05
397,16156,11-08-2023,199,Credit Card,Pending,USD,2023-08
398,34248,30-01-2022,99,UPI,Completed,USD,2022-01
399,37386,03-09-2022,199,Credit Card,Failed,INR,2022-09
400,8685,11-04-2022,199,UPI,Completed,INR,2022-04
401,48878,20-10-2023,35,Credit Card,Failed,EUR,2023-10
402,20126,19-03-2024,199,Credit Card,Pending,USD,2024-03
403,48475,22-04-2023,199,PayPal,Failed,INR,2023-04
404,14528,17-09-2024,15,PayPal,Completed,EUR,2024-09
405,32323,31-01-2025,35,PayPal,Completed,EUR,2025-01
406,47145,08-10-2022,35,UPI,Pending,USD,2022-10
407,21247,17-09-2022,199,Bank Transfer,Completed,USD,2022-09
408,4702,01-08-2023,15,UPI,Pending,EUR,2023-08
409,7390,30-01-2024,35,Bank Transfer,Completed,USD,2024-01
410,13512,26-11-2024,35,PayPal,Failed,INR,2024-11
411,47474,20-02-2025,199,PayPal,Failed,EUR,2025-02
412,24853,22-02-2023,199,Credit Card,Pending,INR,2023-02
413,46659,09-09-2022,199,PayPal,Failed,INR,2022-09
414,6645,19-04-2024,199,PayPal,Completed,USD,2024-04
415,14185,29-01-2025,199,Credit Card,Failed,USD,2025-01
416,6666,20-05-2023,15,Bank Transfer,Failed,USD,2023-05
417,20434,08-11-2022,35,Credit Card,Pending,USD,2022-11
418,23431,19-03-2024,99,PayPal,Failed,EUR,2024-03
419,12033,15-03-2023,35,UPI,Failed,INR,2023-03
420,48838,22-09-2024,15,Credit Card,Pending,EUR,2024-09
421,47344,23-07-2023,15,Bank Transfer,Pending,INR,2023-07
422,32067,12-02-2023,35,Credit Card,Failed,USD,2023-02
423,7768,23-06-2023,99,PayPal,Completed,INR,2023-06
424,26587,12-01-2022,15,Credit Card,Pending,USD,2022-01
425,36842,28-02-2024,15,UPI,Pending,EUR,2024-02
426,19178,10-03-2023,15,Credit Card,Completed,USD,2023-03
427,1190,24-04-2024,99,UPI,Failed,EUR,2024-04
428,28336,19-07-2024,15,PayPal,Pending,INR,2024-07
429,14589,15-04-2022,199,PayPal,Pending,INR,2022-04
430,17311,05-04-2025,35,Credit Card,Failed,EUR,2025-04
431,24335,27-11-2022,99,Credit Card,Completed,USD,2022-11
432,6029,22-11-2022,99,UPI,Pending,INR,2022-11
433,15014,10-04-2025,199,UPI,Pending,USD,2025-04
434,42200,26-01-2025,35,Bank Transfer,Failed,EUR,2025-01
435,14190,16-10-2023,35,UPI,Completed,INR,2023-10
