subscription_id,customer_id,plan_name,billing_cycle,subscription_start,subscription_end,monthly_price,subscription_status,auto_renew,revenue_segment
47,47,Starter,Yearly,16-04-2024,27-02-2026,15,Active,FALSE,Low Revenue
48,48,Starter,Yearly,19-03-2024,26-11-2025,15,Paused,FALSE,Low Revenue
49,49,Pro,Monthly,17-10-2022,29-10-2023,35,Cancelled,TRUE,Medium Revenue
50,50,Pro,Monthly,08-05-2022,15-12-2022,35,Paused,TRUE,Medium Revenue
51,51,Starter,Yearly,07-07-2023,04-03-2025,15,Paused,TRUE,Low Revenue
52,52,Starter,Monthly,08-12-2023,03-12-2025,15,Paused,TRUE,Low Revenue
53,53,Enterprise,Yearly,21-12-2024,27-11-2025,99,Paused,TRUE,High Revenue
54,54,Pro,Monthly,28-10-2024,06-12-2025,35,Paused,FALSE,Medium Revenue
55,55,Free,Yearly,27-01-2023,01-12-2024,0,Cancelled,FALSE,Free
56,56,Starter,Monthly,20-10-2023,06-10-2024,15,Active,TRUE,Low Revenue
57,57,Starter,Monthly,08-02-2023,16-09-2024,15,Cancelled,TRUE,Low Revenue
58,58,Enterprise,Monthly,12-09-2024,07-03-2026,99,Active,TRUE,High Revenue
59,59,Pro,Yearly,10-04-2022,14-07-2022,35,Cancelled,FALSE,Medium Revenue
60,60,Pro,Yearly,03-03-2023,09-06-2024,35,Cancelled,TRUE,Medium Revenue
61,61,Enterprise,Yearly,04-02-2025,16-01-2027,99,Paused,FALSE,High Revenue
62,62,Pro,Yearly,19-11-2024,15-05-2025,35,Active,FALSE,Medium Revenue
63,63,Pro,Yearly,22-11-2022,02-02-2023,35,Cancelled,TRUE,Medium Revenue
64,64,Pro,Monthly,14-06-2023,18-11-2023,35,Paused,FALSE,Medium Revenue
65,65,Free,Yearly,06-08-2024,29-09-2025,0,Paused,FALSE,Free
66,66,Pro,Monthly,11-03-2024,18-05-2024,35,Paused,TRUE,Medium Revenue
67,67,Enterprise,Monthly,19-10-2023,25-06-2024,99,Cancelled,TRUE,High Revenue
68,68,Starter,Yearly,20-12-2023,11-09-2025,15,Paused,TRUE,Low Revenue
69,69,Free,Monthly,05-01-2023,11-07-2023,0,Paused,FALSE,Free
70,70,Pro,Monthly,27-07-2024,15-12-2025,35,Cancelled,TRUE,Medium Revenue
71,71,Pro,Yearly,23-01-2025,19-03-2026,35,Paused,TRUE,Medium Revenue
72,72,Pro,Yearly,06-04-2023,08-09-2023,35,Active,TRUE,Medium Revenue
73,73,Pro,Yearly,18-03-2023,06-11-2023,35,Cancelled,TRUE,Medium Revenue
74,74,Starter,Yearly,06-08-2022,07-08-2023,15,Paused,TRUE,Low Revenue
75,75,Free,Monthly,28-01-2024,02-03-2025,0,Cancelled,TRUE,Free
76,76,Free,Yearly,06-12-2023,30-03-2024,0,Paused,TRUE,Free
77,77,Pro,Monthly,13-05-2022,10-05-2024,35,Paused,TRUE,Medium Revenue
78,78,Free,Monthly,23-12-2024,31-03-2025,0,Paused,TRUE,Free
79,79,Starter,Monthly,06-12-2024,07-04-2026,15,Cancelled,FALSE,Low Revenue
80,80,Free,Yearly,26-12-2022,21-05-2023,0,Paused,FALSE,Free
81,81,Pro,Yearly,18-07-2024,21-05-2025,35,Paused,FALSE,Medium Revenue
82,82,Pro,Monthly,19-04-2024,06-07-2024,35,Cancelled,TRUE,Medium Revenue
83,83,Pro,Yearly,11-11-2024,20-06-2025,35,Cancelled,FALSE,Medium Revenue
84,84,Enterprise,Yearly,19-02-2022,06-04-2023,99,Active,FALSE,High Revenue
85,85,Starter,Monthly,23-03-2022,26-03-2023,15,Paused,FALSE,Low Revenue
86,86,Pro,Monthly,04-07-2024,23-10-2024,35,Cancelled,TRUE,Medium Revenue
87,87,Starter,Monthly,20-09-2022,14-12-2022,15,Active,TRUE,Low Revenue
88,88,Enterprise,Monthly,03-08-2022,04-02-2023,99,Paused,FALSE,High Revenue
89,89,Starter,Yearly,06-06-2024,04-06-2025,15,Cancelled,TRUE,Low Revenue
90,90,Starter,Monthly,04-05-2023,17-01-2024,15,Cancelled,FALSE,Low Revenue
91,91,Starter,Yearly,22-06-2022,08-04-2024,15,Cancelled,TRUE,Low Revenue
92,92,Starter,Yearly,26-07-2022,06-12-2022,15,Active,TRUE,Low Revenue
93,93,Enterprise,Yearly,11-02-2023,18-10-2023,99,Active,FALSE,High Revenue
94,94,Starter,Yearly,27-12-2022,04-10-2023,15,Active,TRUE,Low Revenue
95,95,Starter,Yearly,09-03-2024,28-04-2024,15,Cancelled,TRUE,Low Revenue
96,96,Enterprise,Monthly,28-12-2024,15-08-2026,99,Paused,TRUE,High Revenue
97,97,Free,Monthly,17-09-2022,25-02-2024,0,Cancelled,TRUE,Free
98,98,Pro,Monthly,15-07-2022,27-08-2022,35,Cancelled,FALSE,Medium Revenue
99,99,Pro,Yearly,13-10-2022,27-08-2023,35,Active,TRUE,Medium Revenue
100,100,Pro,Monthly,23-12-2023,12-12-2024,35,Cancelled,TRUE,Medium Revenue
101,101,Pro,Yearly,23-07-2023,31-01-2024,35,Paused,TRUE,Medium Revenue
102,102,Pro,Monthly,27-08-2023,09-01-2024,35,Paused,FALSE,Medium Revenue
103,103,Enterprise,Monthly,22-02-2023,28-05-2023,99,Cancelled,FALSE,High Revenue
104,104,Pro,Monthly,30-10-2024,22-03-2025,35,Paused,FALSE,Medium Revenue
105,105,Starter,Yearly,10-07-2022,27-04-2023,15,Paused,TRUE,Low Revenue
106,106,Starter,Monthly,05-01-2023,05-01-2024,15,Active,FALSE,Low Revenue
107,107,Free,Yearly,30-11-2023,14-03-2024,0,Cancelled,FALSE,Free
108,108,Pro,Monthly,04-10-2023,12-11-2024,35,Active,TRUE,Medium Revenue
109,109,Starter,Yearly,22-12-2022,16-01-2024,15,Cancelled,TRUE,Low Revenue
110,110,Free,Yearly,10-01-2025,07-04-2026,0,Cancelled,FALSE,Free
111,111,Starter,Yearly,25-09-2022,31-05-2023,15,Cancelled,FALSE,Low Revenue
112,112,Pro,Monthly,26-08-2024,14-05-2025,35,Paused,FALSE,Medium Revenue
113,113,Enterprise,Monthly,21-12-2023,18-06-2025,99,Cancelled,TRUE,High Revenue
114,114,Enterprise,Monthly,21-03-2023,18-06-2024,99,Active,TRUE,High Revenue
115,115,Pro,Yearly,22-02-2022,25-09-2023,35,Cancelled,TRUE,Medium Revenue
116,116,Enterprise,Monthly,24-12-2023,25-03-2025,99,Active,TRUE,High Revenue
117,117,Pro,Monthly,25-10-2022,27-06-2024,35,Active,FALSE,Medium Revenue
118,118,Free,Monthly,13-07-2024,16-04-2026,0,Active,FALSE,Free
119,119,Pro,Yearly,12-07-2022,13-04-2023,35,Paused,TRUE,Medium Revenue
120,120,Pro,Yearly,31-10-2023,15-06-2025,35,Paused,TRUE,Medium Revenue
121,121,Starter,Yearly,05-02-2023,20-06-2024,15,Cancelled,FALSE,Low Revenue
122,122,Pro,Yearly,04-10-2024,08-11-2024,35,Paused,FALSE,Medium Revenue
123,123,Pro,Yearly,03-12-2023,10-11-2025,35,Active,TRUE,Medium Revenue
124,124,Starter,Yearly,07-05-2023,18-02-2024,15,Active,FALSE,Low Revenue
125,125,Pro,Monthly,09-02-2023,02-04-2023,35,Cancelled,TRUE,Medium Revenue
126,126,Starter,Monthly,28-04-2024,21-03-2025,15,Active,TRUE,Low Revenue
127,127,Starter,Monthly,22-09-2022,29-10-2022,15,Paused,TRUE,Low Revenue
128,128,Pro,Yearly,19-08-2023,11-01-2024,35,Paused,TRUE,Medium Revenue
129,129,Enterprise,Yearly,21-08-2024,25-10-2024,99,Active,TRUE,High Revenue
130,130,Pro,Yearly,09-01-2022,05-03-2023,35,Cancelled,FALSE,Medium Revenue
131,131,Free,Monthly,04-08-2022,20-03-2024,0,Active,FALSE,Free
132,132,Enterprise,Yearly,02-07-2023,29-11-2024,99,Active,FALSE,High Revenue
133,133,Pro,Yearly,21-07-2024,19-04-2025,35,Active,TRUE,Medium Revenue
134,134,Free,Yearly,09-01-2025,16-06-2026,0,Cancelled,TRUE,Free
135,135,Enterprise,Yearly,06-02-2025,11-08-2026,99,Cancelled,FALSE,High Revenue
136,136,Free,Yearly,03-05-2023,25-12-2024,0,Active,FALSE,Free
137,137,Pro,Yearly,17-06-2023,14-09-2024,35,Paused,TRUE,Medium Revenue
138,138,Starter,Yearly,07-08-2022,20-01-2023,15,Paused,FALSE,Low Revenue
139,139,Free,Yearly,01-02-2023,30-12-2023,0,Active,FALSE,Free
140,140,Free,Yearly,02-08-2024,03-07-2026,0,Active,FALSE,Free
141,141,Pro,Yearly,13-12-2024,14-08-2025,35,Paused,TRUE,Medium Revenue
142,142,Starter,Yearly,21-06-2022,07-08-2022,15,Paused,TRUE,Low Revenue
143,143,Free,Monthly,08-03-2023,31-01-2024,0,Paused,TRUE,Free
144,144,Free,Yearly,05-11-2023,03-05-2024,0,Cancelled,TRUE,Free
145,145,Free,Yearly,20-12-2022,18-05-2024,0,Active,TRUE,Free
146,146,Starter,Yearly,14-04-2023,24-01-2025,15,Paused,FALSE,Low Revenue
147,147,Enterprise,Yearly,13-02-2023,30-11-2023,99,Paused,FALSE,High Revenue
148,148,Enterprise,Monthly,17-01-2024,09-05-2024,99,Cancelled,FALSE,High Revenue
149,149,Pro,Monthly,28-07-2022,04-04-2023,35,Cancelled,FALSE,Medium Revenue
150,150,Enterprise,Monthly,12-01-2025,23-09-2025,99,Paused,FALSE,High Revenue
151,151,Pro,Yearly,05-06-2024,01-03-2026,35,Paused,TRUE,Medium Revenue
152,152,Starter,Monthly,05-04-2025,02-06-2025,15,Cancelled,TRUE,Low Revenue
153,153,Starter,Yearly,24-03-2025,21-09-2026,15,Paused,FALSE,Low Revenue
154,154,Free,Yearly,03-02-2023,18-03-2023,0,Paused,FALSE,Free
155,155,Pro,Monthly,24-09-2022,18-02-2024,35,Cancelled,FALSE,Medium Revenue
156,156,Starter,Yearly,10-07-2024,31-08-2025,15,Cancelled,TRUE,Low Revenue
157,157,Pro,Monthly,15-10-2024,05-06-2025,35,Active,FALSE,Medium Revenue
158,158,Starter,Monthly,11-11-2023,13-08-2024,15,Active,FALSE,Low Revenue
159,159,Starter,Monthly,31-05-2022,04-05-2023,15,Cancelled,TRUE,Low Revenue
160,160,Pro,Yearly,22-04-2024,07-12-2025,35,Cancelled,FALSE,Medium Revenue
161,161,Pro,Monthly,05-06-2022,11-07-2023,35,Active,TRUE,Medium Revenue
162,162,Pro,Yearly,30-10-2024,21-07-2025,35,Paused,FALSE,Medium Revenue
163,163,Pro,Yearly,03-10-2024,24-02-2026,35,Cancelled,FALSE,Medium Revenue
164,164,Starter,Monthly,26-04-2024,26-09-2024,15,Paused,TRUE,Low Revenue
165,165,Enterprise,Yearly,20-03-2025,19-08-2026,99,Paused,FALSE,High Revenue
166,166,Pro,Monthly,07-10-2022,07-06-2023,35,Active,TRUE,Medium Revenue
167,167,Free,Monthly,05-11-2022,10-05-2024,0,Cancelled,TRUE,Free
168,168,Free,Monthly,13-11-2024,18-08-2026,0,Cancelled,TRUE,Free
169,169,Pro,Yearly,11-10-2022,08-04-2024,35,Active,FALSE,Medium Revenue
170,170,Pro,Monthly,10-08-2023,11-07-2024,35,Cancelled,FALSE,Medium Revenue
171,171,Starter,Yearly,15-05-2024,14-01-2026,15,Active,TRUE,Low Revenue
172,172,Pro,Monthly,24-05-2024,17-11-2025,35,Cancelled,TRUE,Medium Revenue
173,173,Pro,Yearly,31-01-2022,11-04-2023,35,Paused,TRUE,Medium Revenue
174,174,Starter,Yearly,27-03-2022,24-02-2024,15,Active,FALSE,Low Revenue
175,175,Free,Yearly,20-07-2024,05-03-2025,0,Paused,FALSE,Free
176,176,Starter,Yearly,10-01-2022,31-07-2023,15,Paused,TRUE,Low Revenue
177,177,Pro,Monthly,27-11-2022,25-10-2024,35,Paused,TRUE,Medium Revenue
178,178,Starter,Monthly,04-10-2023,23-11-2023,15,Cancelled,TRUE,Low Revenue
179,179,Free,Yearly,09-11-2024,25-08-2025,0,Active,FALSE,Free
180,180,Pro,Monthly,05-12-2023,21-07-2024,35,Cancelled,TRUE,Medium Revenue
181,181,Starter,Yearly,26-02-2024,11-07-2025,15,Cancelled,FALSE,Low Revenue
182,182,Free,Yearly,21-03-2022,17-04-2023,0,Paused,FALSE,Free
183,183,Enterprise,Yearly,23-08-2023,19-10-2024,99,Active,FALSE,High Revenue
184,184,Starter,Yearly,04-03-2025,07-08-2025,15,Cancelled,TRUE,Low Revenue
185,185,Pro,Yearly,12-02-2025,24-03-2025,35,Paused,TRUE,Medium Revenue
186,186,Starter,Yearly,10-11-2023,14-12-2023,15,Active,FALSE,Low Revenue
187,187,Starter,Monthly,02-11-2023,24-06-2025,15,Active,TRUE,Low Revenue
188,188,Free,Yearly,08-11-2023,31-08-2025,0,Cancelled,TRUE,Free
189,189,Pro,Yearly,26-03-2022,23-08-2023,35,Active,TRUE,Medium Revenue
190,190,Starter,Yearly,08-08-2022,20-01-2023,15,Active,FALSE,Low Revenue
191,191,Free,Monthly,13-04-2025,16-04-2026,0,Cancelled,FALSE,Free
192,192,Starter,Yearly,11-02-2023,25-06-2024,15,Paused,TRUE,Low Revenue
193,193,Enterprise,Monthly,29-04-2024,30-11-2024,99,Cancelled,TRUE,High Revenue
194,194,Starter,Monthly,08-08-2023,12-08-2024,15,Paused,TRUE,Low Revenue
195,195,Pro,Yearly,29-05-2024,24-04-2025,35,Active,TRUE,Medium Revenue
196,196,Starter,Monthly,25-11-2022,11-10-2023,15,Cancelled,FALSE,Low Revenue
197,197,Starter,Monthly,22-02-2022,14-06-2022,15,Paused,TRUE,Low Revenue
198,198,Starter,Monthly,10-03-2022,24-11-2022,15,Active,TRUE,Low Revenue
199,199,Enterprise,Monthly,04-07-2024,01-04-2026,99,Active,TRUE,High Revenue
200,200,Pro,Monthly,05-11-2023,23-08-2025,35,Paused,FALSE,Medium Revenue
201,201,Free,Monthly,12-06-2023,04-07-2024,0,Active,TRUE,Free
202,202,Free,Monthly,09-07-2022,11-07-2023,0,Paused,FALSE,Free
203,203,Pro,Yearly,10-12-2022,03-05-2024,35,Active,FALSE,Medium Revenue
204,204,Free,Yearly,17-08-2022,19-02-2023,0,Cancelled,TRUE,Free
205,205,Enterprise,Monthly,09-05-2022,05-07-2023,99,Cancelled,TRUE,High Revenue
206,206,Starter,Monthly,08-08-2023,04-06-2024,15,Cancelled,FALSE,Low Revenue
207,207,Starter,Yearly,24-06-2022,17-08-2023,15,Active,FALSE,Low Revenue
208,208,Pro,Monthly,19-08-2024,18-11-2025,35,Active,FALSE,Medium Revenue
209,209,Pro,Monthly,27-07-2024,08-10-2025,35,Cancelled,FALSE,Medium Revenue
210,210,Free,Monthly,03-11-2023,07-05-2025,0,Paused,TRUE,Free
211,211,Free,Yearly,25-08-2022,09-04-2024,0,Active,FALSE,Free
212,212,Free,Yearly,06-02-2022,02-12-2023,0,Cancelled,TRUE,Free
213,213,Pro,Monthly,24-09-2023,24-02-2025,35,Cancelled,TRUE,Medium Revenue
214,214,Starter,Yearly,11-04-2023,26-08-2023,15,Cancelled,TRUE,Low Revenue
215,215,Enterprise,Monthly,17-04-2023,09-07-2024,99,Cancelled,TRUE,High Revenue
216,216,Pro,Monthly,14-06-2022,03-10-2022,35,Cancelled,TRUE,Medium Revenue
217,217,Starter,Monthly,04-07-2023,16-04-2025,15,Active,TRUE,Low Revenue
218,218,Starter,Monthly,13-09-2023,24-01-2025,15,Cancelled,FALSE,Low Revenue
219,219,Starter,Yearly,14-10-2022,21-03-2024,15,Active,FALSE,Low Revenue
220,220,Starter,Yearly,13-03-2023,22-10-2024,15,Active,TRUE,Low Revenue
221,221,Starter,Yearly,15-08-2023,04-10-2023,15,Paused,TRUE,Low Revenue
222,222,Pro,Monthly,09-05-2024,20-06-2024,35,Active,TRUE,Medium Revenue
223,223,Pro,Monthly,04-12-2022,10-08-2024,35,Active,TRUE,Medium Revenue
224,224,Free,Yearly,23-06-2023,29-11-2023,0,Cancelled,TRUE,Free
225,225,Free,Yearly,10-08-2023,26-06-2024,0,Paused,TRUE,Free
226,226,Pro,Monthly,25-08-2024,14-07-2026,35,Paused,TRUE,Medium Revenue
227,227,Starter,Yearly,13-06-2023,11-03-2025,15,Active,FALSE,Low Revenue
228,228,Starter,Yearly,26-09-2023,02-08-2024,15,Paused,FALSE,Low Revenue
229,229,Starter,Monthly,29-07-2024,05-03-2025,15,Active,TRUE,Low Revenue
230,230,Starter,Yearly,25-01-2025,17-10-2025,15,Active,TRUE,Low Revenue
231,231,Starter,Yearly,17-12-2024,17-12-2026,15,Paused,FALSE,Low Revenue
232,232,Enterprise,Monthly,06-08-2023,21-10-2023,99,Paused,FALSE,High Revenue
233,233,Starter,Monthly,03-02-2023,09-12-2024,15,Paused,FALSE,Low Revenue
234,234,Starter,Yearly,11-09-2022,28-08-2023,15,Paused,TRUE,Low Revenue
235,235,Pro,Monthly,16-03-2025,05-06-2026,35,Active,TRUE,Medium Revenue
236,236,Starter,Yearly,27-05-2022,23-03-2024,15,Paused,FALSE,Low Revenue
237,237,Pro,Monthly,02-07-2024,29-07-2025,35,Paused,TRUE,Medium Revenue
238,238,Enterprise,Yearly,23-05-2022,23-12-2023,99,Paused,TRUE,High Revenue
239,239,Starter,Yearly,02-12-2024,03-04-2025,15,Cancelled,FALSE,Low Revenue
240,240,Starter,Monthly,10-12-2022,23-10-2024,15,Cancelled,FALSE,Low Revenue
241,241,Pro,Yearly,03-11-2022,30-06-2023,35,Cancelled,TRUE,Medium Revenue
242,242,Free,Yearly,30-05-2022,25-04-2023,0,Active,FALSE,Free
243,243,Pro,Monthly,08-05-2023,27-11-2023,35,Cancelled,FALSE,Medium Revenue
244,244,Starter,Monthly,28-02-2025,15-02-2027,15,Paused,TRUE,Low Revenue
245,245,Pro,Yearly,03-09-2023,08-11-2024,35,Paused,FALSE,Medium Revenue
246,246,Starter,Yearly,27-03-2025,09-03-2026,15,Active,FALSE,Low Revenue
247,247,Enterprise,Monthly,28-02-2025,24-09-2026,99,Cancelled,TRUE,High Revenue
248,248,Pro,Monthly,03-09-2022,06-07-2023,35,Active,FALSE,Medium Revenue
249,249,Free,Yearly,17-12-2022,31-12-2023,0,Active,FALSE,Free
250,250,Pro,Monthly,21-10-2022,08-05-2024,35,Paused,FALSE,Medium Revenue
251,251,Starter,Monthly,24-07-2023,11-01-2025,15,Active,TRUE,Low Revenue
252,252,Free,Monthly,21-06-2022,27-03-2024,0,Cancelled,TRUE,Free
253,253,Pro,Yearly,25-09-2022,26-06-2024,35,Active,FALSE,Medium Revenue
254,254,Pro,Yearly,14-11-2022,10-10-2023,35,Cancelled,TRUE,Medium Revenue
255,255,Starter,Yearly,24-07-2024,18-02-2025,15,Cancelled,TRUE,Low Revenue
256,256,Pro,Yearly,28-01-2024,18-07-2024,35,Active,FALSE,Medium Revenue
257,257,Enterprise,Monthly,26-05-2023,21-01-2025,99,Cancelled,FALSE,High Revenue
258,258,Free,Yearly,15-01-2022,23-08-2023,0,Cancelled,FALSE,Free
259,259,Starter,Monthly,17-10-2024,17-06-2025,15,Active,TRUE,Low Revenue
260,260,Starter,Yearly,21-12-2023,12-07-2024,15,Cancelled,TRUE,Low Revenue
261,261,Free,Monthly,28-02-2023,16-06-2024,0,Paused,FALSE,Free
262,262,Pro,Monthly,23-02-2025,12-01-2027,35,Active,TRUE,Medium Revenue
263,263,Pro,Yearly,20-03-2023,22-03-2024,35,Paused,FALSE,Medium Revenue
264,264,Starter,Monthly,30-09-2024,02-03-2026,15,Paused,FALSE,Low Revenue
265,265,Pro,Yearly,21-03-2023,10-05-2024,35,Paused,TRUE,Medium Revenue
266,266,Starter,Yearly,13-05-2024,07-08-2025,15,Paused,TRUE,Low Revenue
267,267,Starter,Yearly,14-09-2023,21-11-2023,15,Paused,TRUE,Low Revenue
268,268,Starter,Monthly,05-06-2023,24-10-2023,15,Paused,FALSE,Low Revenue
269,269,Starter,Yearly,19-02-2025,02-02-2027,15,Paused,FALSE,Low Revenue
270,270,Free,Monthly,02-09-2024,19-01-2025,0,Cancelled,TRUE,Free
271,271,Starter,Yearly,09-06-2023,01-06-2024,15,Cancelled,FALSE,Low Revenue
272,272,Pro,Monthly,20-08-2022,19-02-2023,35,Cancelled,TRUE,Medium Revenue
273,273,Starter,Yearly,24-07-2022,09-04-2024,15,Cancelled,TRUE,Low Revenue
274,274,Pro,Yearly,09-10-2022,31-08-2023,35,Paused,FALSE,Medium Revenue
275,275,Starter,Yearly,27-12-2023,26-07-2024,15,Cancelled,TRUE,Low Revenue
276,276,Pro,Monthly,24-01-2022,15-10-2023,35,Cancelled,FALSE,Medium Revenue
277,277,Starter,Yearly,07-06-2022,11-07-2023,15,Cancelled,TRUE,Low Revenue
278,278,Starter,Monthly,14-12-2022,05-07-2024,15,Cancelled,TRUE,Low Revenue
279,279,Pro,Yearly,11-03-2024,21-05-2024,35,Paused,TRUE,Medium Revenue
280,280,Pro,Monthly,13-02-2025,22-01-2027,35,Paused,TRUE,Medium Revenue
281,281,Free,Yearly,28-05-2024,14-08-2024,0,Cancelled,FALSE,Free
282,282,Enterprise,Yearly,21-12-2024,31-08-2025,99,Cancelled,TRUE,High Revenue
283,283,Free,Yearly,01-05-2022,10-02-2023,0,Cancelled,FALSE,Free
284,284,Starter,Yearly,01-04-2024,05-07-2025,15,Cancelled,FALSE,Low Revenue
285,285,Starter,Monthly,14-03-2025,06-11-2025,15,Active,FALSE,Low Revenue
286,286,Starter,Monthly,12-09-2023,24-06-2024,15,Cancelled,TRUE,Low Revenue
287,287,Starter,Monthly,23-10-2022,02-06-2023,15,Paused,TRUE,Low Revenue
288,288,Pro,Monthly,27-06-2022,02-09-2022,35,Active,TRUE,Medium Revenue
289,289,Starter,Monthly,26-03-2023,24-12-2023,15,Paused,TRUE,Low Revenue
290,290,Pro,Yearly,17-09-2022,24-03-2024,35,Active,TRUE,Medium Revenue
291,291,Pro,Monthly,23-02-2023,07-08-2023,35,Paused,TRUE,Medium Revenue
292,292,Pro,Yearly,15-07-2024,12-03-2025,35,Active,TRUE,Medium Revenue
293,293,Pro,Monthly,25-02-2023,25-05-2023,35,Cancelled,TRUE,Medium Revenue
294,294,Pro,Yearly,13-05-2024,26-03-2026,35,Active,TRUE,Medium Revenue
295,295,Free,Monthly,12-02-2022,26-10-2023,0,Cancelled,TRUE,Free
296,296,Pro,Monthly,29-03-2024,16-01-2025,35,Paused,TRUE,Medium Revenue
297,297,Pro,Yearly,21-11-2024,29-12-2025,35,Cancelled,TRUE,Medium Revenue
298,298,Free,Monthly,18-02-2024,03-12-2025,0,Active,TRUE,Free
299,299,Pro,Yearly,08-02-2024,28-05-2024,35,Active,TRUE,Medium Revenue
300,300,Starter,Yearly,26-02-2022,24-12-2022,15,Cancelled,TRUE,Low Revenue
301,301,Pro,Yearly,03-11-2024,01-10-2025,35,Active,FALSE,Medium Revenue
302,302,Free,Yearly,29-12-2022,03-09-2023,0,Paused,FALSE,Free
303,303,Starter,Yearly,22-06-2023,04-10-2024,15,Active,TRUE,Low Revenue
304,304,Enterprise,Yearly,15-05-2024,05-08-2024,99,Active,TRUE,High Revenue
305,305,Pro,Monthly,30-01-2022,21-06-2022,35,Active,TRUE,Medium Revenue
306,306,Starter,Monthly,07-06-2023,03-09-2023,15,Paused,FALSE,Low Revenue
307,307,Free,Yearly,11-05-2022,06-12-2023,0,Active,FALSE,Free
308,308,Free,Yearly,06-06-2022,10-09-2022,0,Active,FALSE,Free
