churn_id,customer_id,churn_date,churn_reason,competitor_name,last_active_days
44,7718,2022-01-28,Low Usage,Slack,94
45,8008,2023-06-06,Technical Issues,Monday.com,31
46,33900,2023-10-10,Low Usage,Slack,58
47,47766,2022-06-12,Technical Issues,Asana,106
48,46315,2024-03-20,Missing Features,Notion,85
49,22284,2024-11-14,Missing Features,Notion,87
50,21220,2024-02-25,Poor Experience,Asana,117
51,22851,2022-02-06,Poor Experience,Asana,114
52,38931,2022-07-30,High Pricing,ClickUp,54
53,20708,2023-05-18,High Pricing,ClickUp,14
54,11854,2024-03-07,Switched Competitor,Asana,7
55,36073,2023-11-17,Technical Issues,ClickUp,24
56,36720,2022-05-18,Low Usage,Notion,89
57,47066,2023-01-23,Switched Competitor,Asana,117
58,19163,2025-01-29,High Pricing,Monday.com,35
59,27919,2024-01-30,Low Usage,Slack,27
60,32103,2025-02-12,Poor Experience,ClickUp,84
61,19020,2024-11-17,Low Usage,Asana,64
62,47081,2023-11-19,Technical Issues,Monday.com,99
63,32028,2023-01-16,Missing Features,Asana,108
64,46696,2024-03-02,Poor Experience,Asana,56
65,42392,2022-11-27,High Pricing,Monday.com,62
66,41825,2023-01-24,High Pricing,Monday.com,20
67,36866,2023-10-29,Low Usage,Notion,5
68,14841,2023-10-14,Low Usage,ClickUp,7
69,3026,2023-06-09,Low Usage,Notion,54
70,41972,2023-04-27,Poor Experience,ClickUp,109
71,13274,2025-03-14,Switched Competitor,Notion,39
72,23136,2024-01-03,Poor Experience,Notion,47
73,3921,2022-06-02,Poor Experience,ClickUp,59
74,14215,2022-11-17,Technical Issues,ClickUp,113
75,49076,2025-03-05,High Pricing,Monday.com,83
76,6990,2022-11-26,High Pricing,ClickUp,6
77,44488,2023-09-08,Switched Competitor,Notion,101
78,35013,2022-06-28,Switched Competitor,Asana,25
79,9607,2023-02-26,Low Usage,Asana,83
80,23081,2022-01-13,Poor Experience,Notion,2
81,13531,2023-05-20,Poor Experience,Notion,31
82,23886,2023-05-21,Technical Issues,Monday.com,103
83,48241,2022-06-27,Switched Competitor,Slack,73
84,17060,2023-09-06,Poor Experience,Monday.com,82
85,47520,2023-04-13,Low Usage,Slack,3
86,615,2024-06-01,Poor Experience,Slack,119
87,32357,2024-03-14,High Pricing,Monday.com,108
88,35283,2024-03-21,Switched Competitor,ClickUp,83
89,38686,2022-07-14,Low Usage,Monday.com,28
90,34709,2022-02-02,High Pricing,Slack,109
91,34288,2025-01-13,High Pricing,ClickUp,1
92,17088,2024-12-01,Switched Competitor,Slack,99
93,48665,2024-08-08,Switched Competitor,Notion,103
94,30659,2024-04-18,Switched Competitor,ClickUp,52
95,45067,2023-04-21,High Pricing,Monday.com,73
96,13208,2023-08-01,Missing Features,Monday.com,10
97,19241,2025-03-08,Missing Features,Notion,16
98,28973,2023-05-06,Low Usage,Asana,46
99,31594,2023-10-19,Technical Issues,ClickUp,42
100,5490,2024-11-30,Missing Features,ClickUp,63
101,591,2024-10-03,Low Usage,Asana,55
102,12480,2023-03-02,Poor Experience,Asana,52
103,1701,2023-06-05,High Pricing,Notion,6
104,42592,2023-07-02,Missing Features,ClickUp,33
105,2822,2023-03-09,Switched Competitor,Slack,13
106,16776,2024-08-18,High Pricing,Asana,13
107,33252,2023-09-08,Low Usage,Monday.com,3
108,16731,2023-05-31,Technical Issues,Monday.com,100
109,32497,2023-08-28,Poor Experience,ClickUp,102
110,39834,2023-06-09,Missing Features,Notion,87
111,27505,2022-02-18,High Pricing,Asana,92
112,8226,2024-06-18,Missing Features,Monday.com,64
113,505,2024-01-26,Missing Features,Asana,66
114,27109,2024-12-20,Poor Experience,Monday.com,98
115,13596,2023-09-04,Switched Competitor,Monday.com,76
116,24460,2023-09-08,High Pricing,Slack,37
117,37489,2022-04-10,Low Usage,Slack,105
118,21919,2022-11-19,Missing Features,Asana,72
119,32152,2024-12-11,Poor Experience,Monday.com,8
120,25047,2023-03-11,Missing Features,Asana,75
121,14616,2022-07-16,Low Usage,ClickUp,4
122,34861,2024-05-08,Switched Competitor,Slack,61
123,4478,2022-10-03,Low Usage,Slack,116
124,10337,2022-11-10,Low Usage,ClickUp,27
125,3469,2022-12-06,Poor Experience,Asana,18
126,25322,2024-02-09,Switched Competitor,Slack,116
127,23138,2024-03-07,Low Usage,Monday.com,24
128,32546,2023-02-21,Switched Competitor,Slack,110
129,40662,2024-07-08,Missing Features,Monday.com,14
130,17634,2025-04-10,Missing Features,ClickUp,28
131,1852,2024-08-07,Poor Experience,Asana,88
132,23924,2025-01-07,High Pricing,Asana,60
133,14931,2022-11-05,Missing Features,Asana,10
134,14885,2024-10-22,Missing Features,ClickUp,93
135,27006,2023-08-30,Switched Competitor,ClickUp,12
136,19997,2024-10-06,Missing Features,Slack,40
137,15788,2023-01-13,Switched Competitor,Monday.com,27
138,36578,2022-05-13,Switched Competitor,Slack,110
139,37578,2023-05-18,Low Usage,Asana,65
140,13204,2023-03-18,High Pricing,Slack,110
141,40564,2023-09-15,Switched Competitor,Monday.com,34
142,19681,2022-11-24,Missing Features,Monday.com,84
143,16881,2023-09-16,Poor Experience,Asana,78
144,35350,2023-10-01,Poor Experience,Notion,19
145,17542,2023-09-21,Missing Features,Asana,52
146,22248,2025-02-03,Technical Issues,Monday.com,7
147,28199,2025-04-11,Low Usage,Monday.com,92
148,33552,2024-02-25,Switched Competitor,Monday.com,103
149,36358,2022-02-20,Switched Competitor,Notion,13
150,45198,2023-08-11,Low Usage,Asana,50
151,5003,2022-02-16,Poor Experience,Monday.com,112
152,2224,2023-11-04,High Pricing,Monday.com,49
153,12200,2024-05-21,Poor Experience,Monday.com,24
154,2205,2024-01-23,Switched Competitor,Monday.com,67
155,24807,2024-04-12,High Pricing,Asana,69
156,48915,2023-10-06,Poor Experience,Monday.com,86
157,8210,2025-02-24,Low Usage,Asana,108
158,27402,2023-03-16,Missing Features,Notion,59
159,8561,2023-05-10,Switched Competitor,Asana,104
160,13248,2023-12-13,Poor Experience,Slack,73
161,43959,2023-07-03,Low Usage,ClickUp,81
162,11576,2023-01-23,Switched Competitor,Slack,111
163,41144,2022-11-07,Switched Competitor,Notion,40
164,13367,2023-01-13,Switched Competitor,Slack,53
165,26167,2022-03-06,High Pricing,ClickUp,78
166,32903,2023-03-12,Low Usage,Monday.com,77
167,15471,2023-03-07,Technical Issues,ClickUp,93
168,39419,2024-07-14,Switched Competitor,Monday.com,67
169,26268,2023-11-07,Technical Issues,Notion,97
170,21624,2023-02-19,High Pricing,Monday.com,19
171,2709,2024-03-02,Low Usage,Notion,35
172,48698,2024-07-07,Missing Features,Monday.com,56
173,8005,2024-11-14,High Pricing,Monday.com,11
174,1665,2022-12-16,Missing Features,Slack,1
175,10797,2022-12-19,Low Usage,Notion,13
176,27750,2025-02-07,Low Usage,Notion,23
177,1221,2022-06-13,Low Usage,ClickUp,115
178,10644,2022-06-04,Missing Features,Slack,17
179,4594,2025-03-30,Missing Features,Notion,77
180,33995,2022-06-18,Poor Experience,Slack,118
181,12014,2025-01-07,Technical Issues,ClickUp,47
182,2062,2025-01-24,High Pricing,ClickUp,89
183,9105,2025-04-01,Poor Experience,Monday.com,27
184,27362,2023-06-16,Low Usage,Monday.com,4
185,24217,2024-06-26,Missing Features,Asana,78
186,28973,2023-10-06,High Pricing,ClickUp,26
187,27576,2022-02-02,Low Usage,Slack,46
188,36668,2024-04-12,Technical Issues,Monday.com,118
189,37791,2022-07-22,High Pricing,Asana,44
190,20368,2023-08-04,Technical Issues,ClickUp,85
191,782,2022-05-19,Missing Features,Monday.com,104
192,13726,2022-10-03,Missing Features,Slack,111
193,20415,2023-02-19,Technical Issues,Notion,20
194,8655,2024-11-29,Switched Competitor,Notion,28
195,49161,2023-08-07,Missing Features,ClickUp,66
196,8048,2024-07-11,Switched Competitor,Monday.com,74
197,33691,2024-09-10,Poor Experience,Asana,49
198,18788,2024-11-27,Low Usage,ClickUp,60
199,14134,2023-04-20,Missing Features,Monday.com,50
200,43946,2022-07-20,Missing Features,Monday.com,54
201,18230,2022-08-12,Poor Experience,Notion,26
202,15816,2023-10-08,Low Usage,ClickUp,86
203,27170,2023-07-22,Technical Issues,ClickUp,59
204,28592,2022-12-27,Technical Issues,Notion,57
205,9583,2023-05-30,Missing Features,Asana,73
206,22187,2022-05-27,Missing Features,Slack,23
207,6169,2024-01-10,Low Usage,Notion,38
208,2314,2022-06-03,Technical Issues,Monday.com,68
209,20368,2023-02-19,Poor Experience,Slack,46
210,5565,2024-07-04,High Pricing,ClickUp,50
211,43509,2022-04-16,Poor Experience,ClickUp,120
212,587,2022-01-22,Low Usage,Slack,18
213,17035,2024-12-12,Technical Issues,Monday.com,25
214,42662,2024-11-25,Low Usage,Monday.com,91
215,48116,2023-09-11,Switched Competitor,Asana,97
216,27302,2022-06-18,Technical Issues,ClickUp,72
217,17770,2025-03-28,Switched Competitor,Slack,13
218,22679,2023-02-02,Missing Features,ClickUp,63
219,11572,2024-08-16,Poor Experience,Slack,73
220,32690,2023-05-20,High Pricing,Asana,113
221,3964,2025-04-02,Low Usage,Monday.com,66
222,19800,2024-07-31,Missing Features,ClickUp,56
223,40968,2023-07-25,Missing Features,Monday.com,29
224,16233,2023-06-03,High Pricing,Slack,72
225,45426,2025-02-18,Missing Features,ClickUp,73
226,47452,2023-08-09,Technical Issues,ClickUp,61
227,16015,2022-11-04,Low Usage,Asana,107
228,39607,2024-07-12,Poor Experience,Asana,50
229,47514,2023-10-15,Technical Issues,Slack,97
230,8972,2024-02-22,Low Usage,Asana,97
231,5730,2023-12-21,Poor Experience,Slack,17
232,47476,2025-03-27,Poor Experience,Notion,92
233,17634,2022-06-20,Technical Issues,Notion,116
234,6541,2023-01-06,Poor Experience,Monday.com,80
235,35729,2022-01-07,Technical Issues,Slack,5
236,36529,2022-04-27,Switched Competitor,Notion,85
237,21522,2023-03-01,High Pricing,Asana,36
238,36471,2022-07-13,Poor Experience,ClickUp,55
239,20503,2022-01-05,Missing Features,Asana,102
240,38000,2024-01-31,Technical Issues,Monday.com,41
241,30640,2022-12-24,Missing Features,Monday.com,42
242,15687,2024-06-21,Switched Competitor,Slack,72
243,10720,2024-01-21,Technical Issues,Asana,82
244,3056,2024-12-09,Missing Features,ClickUp,111
245,31158,2024-07-02,Switched Competitor,Monday.com,115
246,45574,2025-03-27,High Pricing,ClickUp,96
247,4977,2023-01-25,Low Usage,ClickUp,40
248,40637,2023-04-26,Technical Issues,Notion,19
249,13323,2022-03-14,Missing Features,ClickUp,91
250,38938,2023-12-24,Switched Competitor,ClickUp,44
251,38080,2024-06-23,Low Usage,ClickUp,62
252,48751,2024-01-28,Poor Experience,ClickUp,72
253,48935,2023-06-29,Switched Competitor,Asana,71
254,38103,2023-11-08,Technical Issues,Monday.com,10
255,5520,2023-12-31,Switched Competitor,Monday.com,84
256,7580,2022-05-13,Missing Features,ClickUp,113
257,20600,2022-06-15,Switched Competitor,Notion,32
258,4305,2024-05-20,Low Usage,Notion,84
259,30149,2024-02-07,Switched Competitor,Asana,66
260,47529,2024-10-13,Technical Issues,Slack,101
261,15418,2024-06-15,Switched Competitor,Notion,59
262,46062,2024-05-16,Technical Issues,Monday.com,77
263,24446,2023-09-14,Switched Competitor,ClickUp,96
264,21604,2022-12-23,Switched Competitor,ClickUp,53
265,25559,2024-09-30,Poor Experience,Asana,34
266,13873,2024-03-22,Low Usage,Asana,24
267,5503,2022-12-30,Poor Experience,Slack,110
268,24327,2022-10-09,High Pricing,Notion,18
269,43304,2023-12-26,Switched Competitor,Slack,120
270,27738,2024-05-15,Low Usage,Asana,9
271,35870,2022-06-14,Missing Features,Slack,101
272,39384,2024-12-27,Switched Competitor,ClickUp,99
273,43226,2022-01-26,Low Usage,Slack,113
274,29441,2024-11-12,Missing Features,Monday.com,49
275,29978,2023-09-15,Switched Competitor,Asana,48
276,24311,2024-06-02,Low Usage,Notion,77
277,47012,2023-04-15,Switched Competitor,Asana,120
278,27674,2024-02-25,Missing Features,Monday.com,95
279,28030,2023-05-25,Switched Competitor,Notion,56
280,39274,2023-05-09,Switched Competitor,Notion,25
281,11014,2023-08-26,Poor Experience,Asana,28
282,29295,2025-02-26,High Pricing,Notion,78
283,25903,2024-02-04,Poor Experience,ClickUp,25
284,14347,2022-08-02,Technical Issues,Notion,106
285,9781,2022-05-22,Switched Competitor,Monday.com,23
286,14001,2024-11-28,Technical Issues,Asana,60
287,9115,2025-02-25,Switched Competitor,Monday.com,89
288,33416,2022-09-28,Switched Competitor,Asana,41
289,49468,2022-09-21,Switched Competitor,Asana,13
290,9521,2024-10-31,Technical Issues,Asana,84
291,44655,2023-07-18,Technical Issues,Slack,63
292,30338,2022-08-14,Poor Experience,Monday.com,92
293,26378,2022-03-16,Switched Competitor,Notion,109
294,37132,2025-04-01,Switched Competitor,Slack,40
295,19226,2023-01-22,Poor Experience,ClickUp,110
296,42888,2023-09-10,Switched Competitor,Monday.com,66
297,42380,2022-03-31,Missing Features,Slack,34
298,38276,2023-03-30,High Pricing,Asana,52
299,17775,2024-11-11,Missing Features,Slack,37
300,30048,2025-01-05,Low Usage,Slack,3
301,4100,2023-03-26,High Pricing,ClickUp,64
302,25605,2025-02-04,Switched Competitor,Asana,28
303,47145,2022-01-19,Technical Issues,Notion,105
304,548,2022-09-08,Low Usage,Slack,93
305,22307,2024-12-21,Poor Experience,Notion,43
306,25346,2023-02-04,Missing Features,ClickUp,41
307,30951,2024-05-23,Low Usage,Asana,109
308,3886,2022-11-25,Missing Features,Monday.com,53
309,20095,2023-09-21,Switched Competitor,Asana,28
310,41447,2022-10-07,Technical Issues,Notion,93
311,35005,2024-04-04,Switched Competitor,Monday.com,119
312,1200,2023-05-21,High Pricing,Asana,55
313,35943,2023-10-13,Missing Features,Slack,80
314,13175,2025-01-11,Technical Issues,Slack,37
315,27920,2024-05-05,Switched Competitor,Asana,35
316,20223,2022-12-07,Technical Issues,Notion,120
317,22582,2024-10-27,Technical Issues,Slack,20
318,47747,2022-11-30,High Pricing,Slack,35
319,25579,2022-09-11,Low Usage,ClickUp,89
320,12116,2022-01-28,Missing Features,Notion,52
321,47672,2023-08-17,Technical Issues,Slack,63
322,44168,2023-02-21,Missing Features,Asana,57
323,22436,2023-04-07,Technical Issues,Slack,36
324,38181,2024-02-15,High Pricing,Monday.com,21
325,48276,2023-02-14,Poor Experience,ClickUp,53
326,28206,2025-02-24,Switched Competitor,ClickUp,71
327,25534,2023-10-21,Technical Issues,Slack,15
328,49307,2023-06-09,High Pricing,Monday.com,102
329,4738,2022-04-20,Technical Issues,Monday.com,2
330,38234,2025-04-06,Technical Issues,Notion,50
331,47049,2023-07-18,Technical Issues,Slack,72
332,39753,2024-02-23,Switched Competitor,Slack,76
333,36087,2023-06-18,Technical Issues,Monday.com,28
334,8,2022-10-27,Low Usage,ClickUp,120
335,45771,2025-02-13,High Pricing,Slack,101
336,21025,2025-02-07,Switched Competitor,Slack,50
337,41625,2024-12-31,Poor Experience,Notion,107
338,32000,2024-05-12,Switched Competitor,ClickUp,68
339,26622,2024-09-14,Technical Issues,Asana,48
340,3213,2024-07-21,Technical Issues,Asana,58
341,46519,2025-04-09,High Pricing,Slack,4
342,26693,2023-04-17,Missing Features,Slack,24
343,10340,2022-08-27,High Pricing,Asana,18
344,3535,2022-01-23,Missing Features,Monday.com,95
345,24459,2023-08-25,Technical Issues,Monday.com,6
346,43520,2022-06-06,Poor Experience,ClickUp,14
347,14928,2023-08-22,Missing Features,Notion,73
348,15338,2022-07-05,Missing Features,Slack,34
349,28216,2022-01-25,Missing Features,Asana,57
350,14095,2024-08-06,Missing Features,Monday.com,39
351,11010,2024-05-25,Technical Issues,ClickUp,68
352,33231,2022-10-22,High Pricing,Notion,85
353,1299,2024-12-20,Technical Issues,Notion,55
354,27364,2024-07-22,Technical Issues,Asana,18
355,38221,2022-08-31,High Pricing,ClickUp,61
356,24950,2023-06-25,Technical Issues,Asana,67
357,4736,2024-07-15,Switched Competitor,Asana,20
358,2494,2024-01-06,High Pricing,ClickUp,87
359,19825,2022-04-16,Switched Competitor,Asana,89
360,26717,2025-02-18,Switched Competitor,Asana,99
361,17517,2023-03-30,High Pricing,ClickUp,88
362,38976,2022-11-29,Poor Experience,Slack,74
363,25158,2023-08-17,Poor Experience,Asana,94
364,21748,2023-01-23,High Pricing,Notion,80
365,25277,2022-07-25,Missing Features,Monday.com,58
366,44371,2024-05-10,Technical Issues,Monday.com,94
367,35186,2024-11-07,Low Usage,ClickUp,70
368,46869,2023-09-13,Technical Issues,Notion,3
369,18038,2023-12-09,Missing Features,Monday.com,47
370,9323,2024-05-02,Switched Competitor,Notion,102
371,5133,2022-09-04,Low Usage,Slack,32
372,41273,2022-06-20,Low Usage,ClickUp,6
373,35139,2023-03-20,Poor Experience,ClickUp,29
374,12498,2023-09-24,Switched Competitor,Slack,111
375,25253,2023-10-29,Poor Experience,Monday.com,83
376,43832,2022-06-07,High Pricing,Asana,29
377,7129,2022-11-02,Switched Competitor,Asana,2
378,6061,2024-05-20,High Pricing,ClickUp,46
379,33097,2022-05-11,High Pricing,Notion,12
380,43656,2024-10-01,Missing Features,Notion,50
381,36963,2022-04-15,Missing Features,Slack,67
382,8386,2022-11-14,Switched Competitor,Notion,9
383,48708,2022-05-07,Switched Competitor,ClickUp,107
384,44754,2022-05-19,Poor Experience,Notion,52
385,84,2024-01-13,Low Usage,ClickUp,109
386,28948,2023-01-28,High Pricing,Notion,2
387,44421,2024-03-27,Switched Competitor,ClickUp,100
388,11846,2022-05-26,High Pricing,Notion,74
389,24084,2022-05-26,Low Usage,Asana,110
390,2613,2022-11-07,Switched Competitor,Monday.com,66
391,3766,2023-03-20,High Pricing,Notion,20
392,15829,2024-08-07,Poor Experience,Slack,16
393,8598,2024-07-26,Switched Competitor,ClickUp,114
394,42318,2022-12-29,High Pricing,Notion,75
395,42326,2023-09-28,Missing Features,Asana,93
396,25573,2025-01-13,Low Usage,ClickUp,107
397,28778,2023-02-13,Poor Experience,Slack,14
398,1268,2024-03-06,Missing Features,Slack,76
399,44058,2024-08-15,Poor Experience,Slack,41
400,36640,2024-12-22,Switched Competitor,Monday.com,3
401,25770,2024-11-22,High Pricing,Notion,65
402,6278,2023-12-03,Technical Issues,Monday.com,57
403,30971,2023-09-19,Missing Features,Notion,98
404,15131,2022-11-26,High Pricing,Slack,112
405,44838,2023-12-09,Technical Issues,Slack,18
406,35124,2023-12-18,Low Usage,Asana,103
407,9048,2023-08-14,Low Usage,Notion,117
408,7226,2023-07-04,Technical Issues,Slack,64
409,7649,2023-03-11,Low Usage,Notion,106
410,41868,2024-07-10,Poor Experience,Notion,5
411,5642,2025-03-18,Switched Competitor,Asana,93
412,24306,2024-10-14,Switched Competitor,Slack,10
413,18310,2024-08-22,Technical Issues,Slack,65
414,16145,2024-06-08,High Pricing,Notion,3
415,4674,2023-12-31,Missing Features,Monday.com,97
416,14954,2023-10-14,High Pricing,ClickUp,12
417,31665,2023-09-22,Low Usage,Asana,96
418,41994,2023-11-29,Switched Competitor,Monday.com,56
419,45577,2024-07-15,Low Usage,Asana,29
420,13869,2022-08-25,High Pricing,Monday.com,29
421,29871,2022-01-18,Poor Experience,Asana,118
422,34329,2023-12-30,Switched Competitor,Slack,101
423,30195,2023-10-06,Low Usage,Notion,111
424,5195,2022-10-06,Low Usage,Notion,55
425,24163,2024-08-25,Low Usage,Slack,34
426,32945,2024-09-07,Technical Issues,ClickUp,30
427,15185,2022-06-07,Missing Features,Asana,79
428,29177,2022-03-22,Missing Features,ClickUp,31
429,39540,2022-06-29,Technical Issues,Monday.com,86
430,37195,2024-07-11,Technical Issues,Asana,116
431,15845,2024-06-24,Technical Issues,Monday.com,110
432,1064,2022-03-21,Poor Experience,ClickUp,97
433,21431,2024-09-17,Low Usage,Slack,101
434,2676,2025-04-07,Missing Features,Slack,34
435,43730,2024-02-12,Poor Experience,Asana,54
436,19859,2024-01-07,Poor Experience,ClickUp,87
437,19936,2023-03-21,Technical Issues,Asana,103
438,2780,2022-08-02,Switched Competitor,Notion,114
439,27594,2024-06-14,Technical Issues,Monday.com,41
440,37794,2025-04-07,Technical Issues,Asana,43
441,13898,2024-12-02,High Pricing,Slack,24
442,36707,2023-03-06,Switched Competitor,Notion,68
443,19357,2024-12-21,Poor Experience,Notion,33
444,26364,2022-07-20,Technical Issues,Slack,30
445,15481,2022-03-14,Poor Experience,Notion,54
446,3858,2022-02-06,Missing Features,Monday.com,11
447,5742,2023-11-22,Low Usage,ClickUp,63
448,49760,2022-01-18,Switched Competitor,Asana,65
449,44270,2022-07-12,Low Usage,Notion,106
450,26888,2024-12-29,Poor Experience,Asana,47
451,18178,2024-11-09,Switched Competitor,ClickUp,95
452,36348,2024-11-07,Poor Experience,Slack,31
453,17568,2023-05-14,Low Usage,ClickUp,1
454,11793,2023-12-22,Poor Experience,Asana,47
455,29750,2023-02-07,Technical Issues,Monday.com,57
456,41125,2023-02-02,Missing Features,Monday.com,103
457,19902,2023-09-06,Low Usage,ClickUp,39
458,24949,2023-09-28,High Pricing,ClickUp,31
459,5375,2023-09-25,Poor Experience,Asana,19
460,4786,2022-08-21,Switched Competitor,Monday.com,38
461,12274,2024-05-18,Poor Experience,Asana,49
462,49506,2022-12-10,Switched Competitor,Slack,101
463,46378,2022-08-14,High Pricing,Asana,27
464,13535,2022-05-01,Low Usage,Monday.com,86
465,14335,2022-09-16,Missing Features,Monday.com,31
466,30878,2022-07-14,Low Usage,Slack,37
467,17754,2024-08-10,Missing Features,Notion,64
468,34914,2025-03-22,Switched Competitor,Monday.com,47
469,4692,2024-09-16,Low Usage,Monday.com,78
470,39768,2024-11-28,Low Usage,Asana,14
471,24278,2024-12-26,Poor Experience,Slack,10
472,6895,2024-01-07,High Pricing,Notion,67
473,43424,2022-04-26,Technical Issues,ClickUp,56
474,6436,2024-01-10,Technical Issues,Monday.com,22
475,33356,2025-04-11,Low Usage,Notion,55
476,42325,2023-09-29,Missing Features,Slack,81
477,4497,2025-04-05,Technical Issues,Monday.com,103
478,16591,2022-09-09,Technical Issues,Asana,61
479,46285,2024-12-12,Technical Issues,Monday.com,12
480,10634,2022-09-26,Low Usage,Monday.com,59
481,2433,2023-01-10,Switched Competitor,Notion,98
482,41388,2023-03-18,Low Usage,Asana,34
483,39386,2022-11-17,Missing Features,Notion,4
484,29516,2024-08-17,Missing Features,Asana,79
485,10496,2022-10-15,High Pricing,Notion,23
486,14924,2022-09-07,Poor Experience,Asana,118
487,46538,2023-02-14,Switched Competitor,Monday.com,67
488,46712,2023-03-17,Poor Experience,Slack,16
489,47267,2022-03-10,Missing Features,Asana,91
490,39616,2022-04-25,Technical Issues,Asana,45
491,42556,2025-02-07,High Pricing,Slack,101
492,17782,2023-06-07,Switched Competitor,ClickUp,21
493,2677,2023-01-07,High Pricing,Notion,100
494,21171,2023-07-14,Switched Competitor,Monday.com,116
495,48133,2022-01-28,Technical Issues,ClickUp,75
496,32685,2024-04-17,Technical Issues,Slack,28
497,8007,2022-06-26,Technical Issues,Slack,87
498,3774,2022-04-06,High Pricing,ClickUp,114
499,32156,2025-01-18,Missing Features,Monday.com,45
500,42432,2023-05-09,High Pricing,Asana,88
501,16998,2024-12-08,Technical Issues,Asana,40
502,15759,2022-01-05,Low Usage,Asana,67
503,46228,2023-05-18,Low Usage,Slack,38
504,45853,2024-10-12,Switched Competitor,Asana,41
505,35163,2024-07-09,High Pricing,Notion,37
506,49082,2023-09-22,Low Usage,Notion,114
507,19833,2024-04-04,High Pricing,Slack,46
508,18831,2025-03-23,Switched Competitor,Asana,64
509,49576,2024-06-09,Low Usage,Asana,42
510,12099,2022-06-26,Missing Features,ClickUp,17
511,40693,2022-08-07,Missing Features,Slack,2
512,26654,2023-10-16,Missing Features,Notion,71
513,25476,2022-07-12,Missing Features,Asana,110
514,33603,2024-02-02,Low Usage,Asana,79
515,19009,2025-02-20,Missing Features,Notion,104
516,44402,2023-10-25,Switched Competitor,ClickUp,29
517,17311,2024-06-19,Switched Competitor,Asana,27
518,3101,2023-09-14,Missing Features,Notion,34
519,38899,2024-10-07,Poor Experience,Notion,50
520,47475,2023-08-02,High Pricing,Slack,68
521,28646,2023-12-19,Technical Issues,ClickUp,92
522,20987,2025-01-17,High Pricing,Asana,23
523,10422,2022-04-11,Missing Features,Monday.com,1
524,47084,2022-06-02,Missing Features,ClickUp,49
525,10516,2023-10-13,High Pricing,Notion,31
526,49120,2022-07-10,Technical Issues,Slack,34
527,41395,2024-05-19,Poor Experience,ClickUp,100
528,47197,2024-12-29,Poor Experience,ClickUp,58
529,39648,2022-08-02,Missing Features,Asana,2
530,39795,2022-05-13,Low Usage,Asana,47
531,46947,2024-06-20,Switched Competitor,Slack,39
532,5657,2024-03-13,Technical Issues,Asana,1
533,15437,2024-10-20,Missing Features,Notion,74
534,10347,2024-04-23,Low Usage,Asana,119
535,15635,2024-01-28,Technical Issues,ClickUp,19
536,40259,2022-11-15,Low Usage,Slack,85
537,34299,2022-01-03,High Pricing,ClickUp,47
538,994,2023-10-23,Switched Competitor,ClickUp,19
539,25021,2025-02-14,Technical Issues,Asana,31
540,35980,2023-03-02,Poor Experience,Monday.com,103
541,617,2024-06-10,Switched Competitor,Slack,90
542,23648,2024-07-01,Technical Issues,Slack,118
543,11210,2022-04-06,Switched Competitor,ClickUp,31
544,26640,2022-01-30,Poor Experience,Monday.com,63
545,43886,2022-01-12,Missing Features,Monday.com,38
546,33945,2022-02-17,Poor Experience,Asana,106
