subscription_id,customer_id,plan_name,billing_cycle,subscription_start,subscription_end,monthly_price,subscription_status,auto_renew
126,126,Starter,Monthly,2024-04-28,2025-03-21,15,Active,True
127,127,Starter,Monthly,2022-09-22,2022-10-29,15,Paused,True
128,128,Pro,Yearly,2023-08-19,2024-01-11,35,Paused,True
129,129,Enterprise,Yearly,2024-08-21,2024-10-25,99,Active,True
130,130,Pro,Yearly,2022-01-09,2023-03-05,35,Cancelled,False
131,131,Free,Monthly,2022-08-04,2024-03-20,0,Active,False
132,132,Enterprise,Yearly,2023-07-02,2024-11-29,99,Active,False
133,133,Pro,Yearly,2024-07-21,2025-04-19,35,Active,True
134,134,Free,Yearly,2025-01-09,2026-06-16,0,Cancelled,True
135,135,Enterprise,Yearly,2025-02-06,2026-08-11,99,Cancelled,False
136,136,Free,Yearly,2023-05-03,2024-12-25,0,Active,False
137,137,Pro,Yearly,2023-06-17,2024-09-14,35,Paused,True
138,138,Starter,Yearly,2022-08-07,2023-01-20,15,Paused,False
139,139,Free,Yearly,2023-02-01,2023-12-30,0,Active,False
140,140,Free,Yearly,2024-08-02,2026-07-03,0,Active,False
141,141,Pro,Yearly,2024-12-13,2025-08-14,35,Paused,True
142,142,Starter,Yearly,2022-06-21,2022-08-07,15,Paused,True
143,143,Free,Monthly,2023-03-08,2024-01-31,0,Paused,True
144,144,Free,Yearly,2023-11-05,2024-05-03,0,Cancelled,True
145,145,Free,Yearly,2022-12-20,2024-05-18,0,Active,True
146,146,Starter,Yearly,2023-04-14,2025-01-24,15,Paused,False
147,147,Enterprise,Yearly,2023-02-13,2023-11-30,99,Paused,False
148,148,Enterprise,Monthly,2024-01-17,2024-05-09,99,Cancelled,False
149,149,Pro,Monthly,2022-07-28,2023-04-04,35,Cancelled,False
150,150,Enterprise,Monthly,2025-01-12,2025-09-23,99,Paused,False
151,151,Pro,Yearly,2024-06-05,2026-03-01,35,Paused,True
152,152,Starter,Monthly,2025-04-05,2025-06-02,15,Cancelled,True
153,153,Starter,Yearly,2025-03-24,2026-09-21,15,Paused,False
154,154,Free,Yearly,2023-02-03,2023-03-18,0,Paused,False
155,155,Pro,Monthly,2022-09-24,2024-02-18,35,Cancelled,False
156,156,Starter,Yearly,2024-07-10,2025-08-31,15,Cancelled,True
157,157,Pro,Monthly,2024-10-15,2025-06-05,35,Active,False
158,158,Starter,Monthly,2023-11-11,2024-08-13,15,Active,False
159,159,Starter,Monthly,2022-05-31,2023-05-04,15,Cancelled,True
160,160,Pro,Yearly,2024-04-22,2025-12-07,35,Cancelled,False
161,161,Pro,Monthly,2022-06-05,2023-07-11,35,Active,True
162,162,Pro,Yearly,2024-10-30,2025-07-21,35,Paused,False
163,163,Pro,Yearly,2024-10-03,2026-02-24,35,Cancelled,False
164,164,Starter,Monthly,2024-04-26,2024-09-26,15,Paused,True
165,165,Enterprise,Yearly,2025-03-20,2026-08-19,99,Paused,False
166,166,Pro,Monthly,2022-10-07,2023-06-07,35,Active,True
167,167,Free,Monthly,2022-11-05,2024-05-10,0,Cancelled,True
168,168,Free,Monthly,2024-11-13,2026-08-18,0,Cancelled,True
169,169,Pro,Yearly,2022-10-11,2024-04-08,35,Active,False
170,170,Pro,Monthly,2023-08-10,2024-07-11,35,Cancelled,False
171,171,Starter,Yearly,2024-05-15,2026-01-14,15,Active,True
172,172,Pro,Monthly,2024-05-24,2025-11-17,35,Cancelled,True
173,173,Pro,Yearly,2022-01-31,2023-04-11,35,Paused,True
174,174,Starter,Yearly,2022-03-27,2024-02-24,15,Active,False
175,175,Free,Yearly,2024-07-20,2025-03-05,0,Paused,False
176,176,Starter,Yearly,2022-01-10,2023-07-31,15,Paused,True
177,177,Pro,Monthly,2022-11-27,2024-10-25,35,Paused,True
178,178,Starter,Monthly,2023-10-04,2023-11-23,15,Cancelled,True
179,179,Free,Yearly,2024-11-09,2025-08-25,0,Active,False
180,180,Pro,Monthly,2023-12-05,2024-07-21,35,Cancelled,True
181,181,Starter,Yearly,2024-02-26,2025-07-11,15,Cancelled,False
182,182,Free,Yearly,2022-03-21,2023-04-17,0,Paused,False
183,183,Enterprise,Yearly,2023-08-23,2024-10-19,99,Active,False
184,184,Starter,Yearly,2025-03-04,2025-08-07,15,Cancelled,True
185,185,Pro,Yearly,2025-02-12,2025-03-24,35,Paused,True
186,186,Starter,Yearly,2023-11-10,2023-12-14,15,Active,False
187,187,Starter,Monthly,2023-11-02,2025-06-24,15,Active,True
188,188,Free,Yearly,2023-11-08,2025-08-31,0,Cancelled,True
189,189,Pro,Yearly,2022-03-26,2023-08-23,35,Active,True
190,190,Starter,Yearly,2022-08-08,2023-01-20,15,Active,False
191,191,Free,Monthly,2025-04-13,2026-04-16,0,Cancelled,False
192,192,Starter,Yearly,2023-02-11,2024-06-25,15,Paused,True
193,193,Enterprise,Monthly,2024-04-29,2024-11-30,99,Cancelled,True
194,194,Starter,Monthly,2023-08-08,2024-08-12,15,Paused,True
195,195,Pro,Yearly,2024-05-29,2025-04-24,35,Active,True
196,196,Starter,Monthly,2022-11-25,2023-10-11,15,Cancelled,False
197,197,Starter,Monthly,2022-02-22,2022-06-14,15,Paused,True
198,198,Starter,Monthly,2022-03-10,2022-11-24,15,Active,True
199,199,Enterprise,Monthly,2024-07-04,2026-04-01,99,Active,True
200,200,Pro,Monthly,2023-11-05,2025-08-23,35,Paused,False
201,201,Free,Monthly,2023-06-12,2024-07-04,0,Active,True
202,202,Free,Monthly,2022-07-09,2023-07-11,0,Paused,False
203,203,Pro,Yearly,2022-12-10,2024-05-03,35,Active,False
204,204,Free,Yearly,2022-08-17,2023-02-19,0,Cancelled,True
205,205,Enterprise,Monthly,2022-05-09,2023-07-05,99,Cancelled,True
206,206,Starter,Monthly,2023-08-08,2024-06-04,15,Cancelled,False
207,207,Starter,Yearly,2022-06-24,2023-08-17,15,Active,False
208,208,Pro,Monthly,2024-08-19,2025-11-18,35,Active,False
209,209,Pro,Monthly,2024-07-27,2025-10-08,35,Cancelled,False
210,210,Free,Monthly,2023-11-03,2025-05-07,0,Paused,True
211,211,Free,Yearly,2022-08-25,2024-04-09,0,Active,False
212,212,Free,Yearly,2022-02-06,2023-12-02,0,Cancelled,True
213,213,Pro,Monthly,2023-09-24,2025-02-24,35,Cancelled,True
214,214,Starter,Yearly,2023-04-11,2023-08-26,15,Cancelled,True
215,215,Enterprise,Monthly,2023-04-17,2024-07-09,99,Cancelled,True
216,216,Pro,Monthly,2022-06-14,2022-10-03,35,Cancelled,True
217,217,Starter,Monthly,2023-07-04,2025-04-16,15,Active,True
218,218,Starter,Monthly,2023-09-13,2025-01-24,15,Cancelled,False
219,219,Starter,Yearly,2022-10-14,2024-03-21,15,Active,False
220,220,Starter,Yearly,2023-03-13,2024-10-22,15,Active,True
221,221,Starter,Yearly,2023-08-15,2023-10-04,15,Paused,True
222,222,Pro,Monthly,2024-05-09,2024-06-20,35,Active,True
223,223,Pro,Monthly,2022-12-04,2024-08-10,35,Active,True
224,224,Free,Yearly,2023-06-23,2023-11-29,0,Cancelled,True
225,225,Free,Yearly,2023-08-10,2024-06-26,0,Paused,True
226,226,Pro,Monthly,2024-08-25,2026-07-14,35,Paused,True
227,227,Starter,Yearly,2023-06-13,2025-03-11,15,Active,False
228,228,Starter,Yearly,2023-09-26,2024-08-02,15,Paused,False
229,229,Starter,Monthly,2024-07-29,2025-03-05,15,Active,True
230,230,Starter,Yearly,2025-01-25,2025-10-17,15,Active,True
231,231,Starter,Yearly,2024-12-17,2026-12-17,15,Paused,False
232,232,Enterprise,Monthly,2023-08-06,2023-10-21,99,Paused,False
233,233,Starter,Monthly,2023-02-03,2024-12-09,15,Paused,False
234,234,Starter,Yearly,2022-09-11,2023-08-28,15,Paused,True
235,235,Pro,Monthly,2025-03-16,2026-06-05,35,Active,True
236,236,Starter,Yearly,2022-05-27,2024-03-23,15,Paused,False
237,237,Pro,Monthly,2024-07-02,2025-07-29,35,Paused,True
238,238,Enterprise,Yearly,2022-05-23,2023-12-23,99,Paused,True
239,239,Starter,Yearly,2024-12-02,2025-04-03,15,Cancelled,False
240,240,Starter,Monthly,2022-12-10,2024-10-23,15,Cancelled,False
241,241,Pro,Yearly,2022-11-03,2023-06-30,35,Cancelled,True
242,242,Free,Yearly,2022-05-30,2023-04-25,0,Active,False
243,243,Pro,Monthly,2023-05-08,2023-11-27,35,Cancelled,False
244,244,Starter,Monthly,2025-02-28,2027-02-15,15,Paused,True
245,245,Pro,Yearly,2023-09-03,2024-11-08,35,Paused,False
246,246,Starter,Yearly,2025-03-27,2026-03-09,15,Active,False
247,247,Enterprise,Monthly,2025-02-28,2026-09-24,99,Cancelled,True
248,248,Pro,Monthly,2022-09-03,2023-07-06,35,Active,False
249,249,Free,Yearly,2022-12-17,2023-12-31,0,Active,False
250,250,Pro,Monthly,2022-10-21,2024-05-08,35,Paused,False
251,251,Starter,Monthly,2023-07-24,2025-01-11,15,Active,True
252,252,Free,Monthly,2022-06-21,2024-03-27,0,Cancelled,True
253,253,Pro,Yearly,2022-09-25,2024-06-26,35,Active,False
254,254,Pro,Yearly,2022-11-14,2023-10-10,35,Cancelled,True
255,255,Starter,Yearly,2024-07-24,2025-02-18,15,Cancelled,True
256,256,Pro,Yearly,2024-01-28,2024-07-18,35,Active,False
257,257,Enterprise,Monthly,2023-05-26,2025-01-21,99,Cancelled,False
258,258,Free,Yearly,2022-01-15,2023-08-23,0,Cancelled,False
259,259,Starter,Monthly,2024-10-17,2025-06-17,15,Active,True
260,260,Starter,Yearly,2023-12-21,2024-07-12,15,Cancelled,True
261,261,Free,Monthly,2023-02-28,2024-06-16,0,Paused,False
262,262,Pro,Monthly,2025-02-23,2027-01-12,35,Active,True
263,263,Pro,Yearly,2023-03-20,2024-03-22,35,Paused,False
264,264,Starter,Monthly,2024-09-30,2026-03-02,15,Paused,False
265,265,Pro,Yearly,2023-03-21,2024-05-10,35,Paused,True
266,266,Starter,Yearly,2024-05-13,2025-08-07,15,Paused,True
267,267,Starter,Yearly,2023-09-14,2023-11-21,15,Paused,True
268,268,Starter,Monthly,2023-06-05,2023-10-24,15,Paused,False
269,269,Starter,Yearly,2025-02-19,2027-02-02,15,Paused,False
270,270,Free,Monthly,2024-09-02,2025-01-19,0,Cancelled,True
271,271,Starter,Yearly,2023-06-09,2024-06-01,15,Cancelled,False
272,272,Pro,Monthly,2022-08-20,2023-02-19,35,Cancelled,True
273,273,Starter,Yearly,2022-07-24,2024-04-09,15,Cancelled,True
274,274,Pro,Yearly,2022-10-09,2023-08-31,35,Paused,False
275,275,Starter,Yearly,2023-12-27,2024-07-26,15,Cancelled,True
276,276,Pro,Monthly,2022-01-24,2023-10-15,35,Cancelled,False
277,277,Starter,Yearly,2022-06-07,2023-07-11,15,Cancelled,True
278,278,Starter,Monthly,2022-12-14,2024-07-05,15,Cancelled,True
279,279,Pro,Yearly,2024-03-11,2024-05-21,35,Paused,True
280,280,Pro,Monthly,2025-02-13,2027-01-22,35,Paused,True
281,281,Free,Yearly,2024-05-28,2024-08-14,0,Cancelled,False
282,282,Enterprise,Yearly,2024-12-21,2025-08-31,99,Cancelled,True
283,283,Free,Yearly,2022-05-01,2023-02-10,0,Cancelled,False
284,284,Starter,Yearly,2024-04-01,2025-07-05,15,Cancelled,False
285,285,Starter,Monthly,2025-03-14,2025-11-06,15,Active,False
286,286,Starter,Monthly,2023-09-12,2024-06-24,15,Cancelled,True
287,287,Starter,Monthly,2022-10-23,2023-06-02,15,Paused,True
288,288,Pro,Monthly,2022-06-27,2022-09-02,35,Active,True
289,289,Starter,Monthly,2023-03-26,2023-12-24,15,Paused,True
290,290,Pro,Yearly,2022-09-17,2024-03-24,35,Active,True
291,291,Pro,Monthly,2023-02-23,2023-08-07,35,Paused,True
292,292,Pro,Yearly,2024-07-15,2025-03-12,35,Active,True
293,293,Pro,Monthly,2023-02-25,2023-05-25,35,Cancelled,True
294,294,Pro,Yearly,2024-05-13,2026-03-26,35,Active,True
295,295,Free,Monthly,2022-02-12,2023-10-26,0,Cancelled,True
296,296,Pro,Monthly,2024-03-29,2025-01-16,35,Paused,True
297,297,Pro,Yearly,2024-11-21,2025-12-29,35,Cancelled,True
298,298,Free,Monthly,2024-02-18,2025-12-03,0,Active,True
299,299,Pro,Yearly,2024-02-08,2024-05-28,35,Active,True
300,300,Starter,Yearly,2022-02-26,2022-12-24,15,Cancelled,True
301,301,Pro,Yearly,2024-11-03,2025-10-01,35,Active,False
302,302,Free,Yearly,2022-12-29,2023-09-03,0,Paused,False
303,303,Starter,Yearly,2023-06-22,2024-10-04,15,Active,True
304,304,Enterprise,Yearly,2024-05-15,2024-08-05,99,Active,True
305,305,Pro,Monthly,2022-01-30,2022-06-21,35,Active,True
306,306,Starter,Monthly,2023-06-07,2023-09-03,15,Paused,False
307,307,Free,Yearly,2022-05-11,2023-12-06,0,Active,False
308,308,Free,Yearly,2022-06-06,2022-09-10,0,Active,False
309,309,Pro,Yearly,2024-01-21,2025-05-24,35,Active,False
310,310,Starter,Monthly,2022-09-18,2023-09-14,15,Paused,True
311,311,Pro,Yearly,2024-09-23,2025-07-31,35,Active,True
312,312,Starter,Yearly,2024-03-18,2025-08-09,15,Paused,False
313,313,Pro,Yearly,2022-01-05,2022-05-15,35,Active,False
314,314,Starter,Monthly,2025-01-16,2026-01-14,15,Active,False
315,315,Pro,Yearly,2023-09-05,2024-01-11,35,Paused,False
316,316,Pro,Monthly,2025-03-04,2025-09-30,35,Cancelled,True
317,317,Enterprise,Monthly,2022-12-11,2023-07-11,99,Active,False
318,318,Enterprise,Yearly,2024-03-28,2025-12-28,99,Active,True
319,319,Starter,Monthly,2024-08-17,2026-02-05,15,Active,True
320,320,Starter,Yearly,2024-11-07,2026-02-24,15,Active,True
321,321,Pro,Monthly,2023-03-29,2024-05-19,35,Active,False
322,322,Pro,Monthly,2024-10-12,2024-12-20,35,Paused,True
323,323,Free,Monthly,2025-04-14,2027-03-07,0,Paused,False
324,324,Enterprise,Monthly,2022-04-05,2023-10-16,99,Active,True
325,325,Starter,Yearly,2022-05-18,2022-09-18,15,Active,False
326,326,Pro,Monthly,2024-06-15,2024-10-16,35,Cancelled,True
327,327,Starter,Monthly,2023-09-26,2025-05-18,15,Cancelled,False
328,328,Pro,Monthly,2022-07-25,2024-07-04,35,Paused,True
329,329,Starter,Monthly,2022-05-06,2022-12-31,15,Paused,True
330,330,Starter,Yearly,2023-07-24,2024-07-01,15,Cancelled,False
331,331,Starter,Yearly,2024-04-10,2024-12-31,15,Paused,True
332,332,Enterprise,Yearly,2024-09-09,2025-01-20,99,Paused,True
333,333,Free,Monthly,2023-10-09,2024-10-07,0,Active,False
334,334,Starter,Yearly,2023-09-14,2023-11-23,15,Paused,False
335,335,Enterprise,Yearly,2024-08-11,2025-12-01,99,Paused,False
336,336,Pro,Monthly,2022-08-19,2024-05-11,35,Paused,False
337,337,Free,Yearly,2022-05-22,2023-07-02,0,Paused,False
338,338,Enterprise,Monthly,2022-01-04,2022-11-03,99,Cancelled,False
339,339,Pro,Monthly,2024-01-06,2025-09-14,35,Paused,True
340,340,Free,Yearly,2023-06-24,2023-10-19,0,Active,True
341,341,Pro,Yearly,2023-06-07,2024-03-01,35,Active,True
342,342,Pro,Yearly,2022-10-17,2024-04-10,35,Cancelled,False
343,343,Pro,Yearly,2022-01-10,2022-07-20,35,Paused,False
344,344,Starter,Yearly,2023-07-03,2023-08-19,15,Paused,False
345,345,Free,Yearly,2024-05-30,2025-10-27,0,Active,False
346,346,Pro,Monthly,2024-12-28,2026-01-24,35,Paused,True
347,347,Pro,Monthly,2024-01-09,2025-10-10,35,Cancelled,True
348,348,Enterprise,Yearly,2025-02-21,2026-01-28,99,Cancelled,False
349,349,Starter,Yearly,2023-07-13,2023-11-08,15,Paused,True
350,350,Free,Yearly,2023-05-10,2023-08-08,0,Paused,False
351,351,Free,Yearly,2023-07-24,2025-06-23,0,Active,True
352,352,Pro,Yearly,2023-09-09,2025-02-19,35,Active,True
353,353,Starter,Monthly,2024-01-03,2024-05-16,15,Paused,False
354,354,Starter,Yearly,2023-08-06,2025-02-07,15,Paused,False
355,355,Starter,Monthly,2024-08-03,2024-11-25,15,Active,True
356,356,Pro,Monthly,2023-06-21,2025-02-26,35,Paused,False
357,357,Free,Monthly,2024-05-03,2025-02-26,0,Cancelled,False
358,358,Free,Yearly,2025-01-04,2025-04-23,0,Cancelled,False
359,359,Starter,Monthly,2024-08-10,2026-05-17,15,Cancelled,False
360,360,Pro,Yearly,2024-06-17,2026-03-09,35,Active,True
361,361,Pro,Yearly,2024-10-18,2025-01-12,35,Cancelled,True
362,362,Pro,Monthly,2024-11-12,2025-04-23,35,Active,False
363,363,Pro,Monthly,2024-09-11,2026-06-09,35,Active,True
364,364,Pro,Monthly,2024-11-26,2026-03-31,35,Active,True
365,365,Free,Yearly,2023-05-28,2023-11-22,0,Active,True
366,366,Pro,Yearly,2023-05-20,2024-05-06,35,Cancelled,False
367,367,Free,Yearly,2025-04-12,2026-09-28,0,Cancelled,True
368,368,Enterprise,Monthly,2023-04-20,2023-06-28,99,Paused,False
369,369,Starter,Yearly,2022-11-21,2023-06-17,15,Active,True
370,370,Enterprise,Yearly,2022-05-28,2022-12-10,99,Cancelled,False
371,371,Starter,Monthly,2022-02-05,2023-05-17,15,Cancelled,True
372,372,Starter,Yearly,2023-06-30,2024-07-29,15,Active,True
373,373,Starter,Yearly,2024-02-22,2025-06-27,15,Paused,False
374,374,Pro,Yearly,2024-12-21,2026-09-16,35,Cancelled,False
375,375,Enterprise,Yearly,2022-09-30,2023-01-23,99,Cancelled,True
376,376,Pro,Yearly,2022-12-18,2023-02-17,35,Active,False
377,377,Pro,Yearly,2023-10-24,2024-04-26,35,Cancelled,False
378,378,Starter,Monthly,2023-07-26,2023-12-21,15,Paused,False
379,379,Starter,Monthly,2022-07-10,2022-09-30,15,Paused,True
380,380,Starter,Yearly,2023-12-20,2024-04-24,15,Cancelled,True
381,381,Pro,Monthly,2024-01-18,2025-11-15,35,Cancelled,True
382,382,Pro,Yearly,2023-12-21,2025-11-28,35,Cancelled,True
383,383,Starter,Yearly,2023-09-07,2024-11-16,15,Cancelled,True
384,384,Starter,Yearly,2024-11-14,2025-08-09,15,Paused,False
385,385,Starter,Yearly,2024-09-30,2026-06-15,15,Cancelled,False
386,386,Starter,Monthly,2023-01-07,2023-03-18,15,Cancelled,False
387,387,Starter,Monthly,2023-07-07,2024-08-04,15,Cancelled,True
388,388,Pro,Monthly,2023-03-11,2024-12-21,35,Paused,False
389,389,Free,Monthly,2024-11-24,2026-04-12,0,Cancelled,False
390,390,Pro,Monthly,2024-07-21,2025-12-04,35,Active,False
391,391,Starter,Yearly,2023-03-26,2023-11-11,15,Paused,True
392,392,Free,Monthly,2024-04-07,2026-04-04,0,Cancelled,False
