ticket_id,customer_id,issue_category,priority,resolution_time_hours,satisfaction_score,created_date
106,7864,Performance,Critical,58,2,2024-08-09
107,7827,Feature Request,Medium,11,4,2024-08-25
108,2696,Performance,Medium,64,3,2025-01-05
109,48255,Login Issue,Low,71,3,2023-11-05
110,12125,Bug Report,Low,24,5,2024-04-18
111,43516,Performance,High,15,2,2024-08-29
112,2539,Billing,Medium,19,3,2024-10-20
113,20715,Login Issue,Medium,41,3,2025-02-18
114,22462,Feature Request,Medium,31,3,2023-12-27
115,18595,Account Access,Critical,30,2,2024-07-22
116,35662,Account Access,Medium,67,5,2023-09-20
117,10413,Login Issue,Critical,21,2,2024-08-14
118,25309,Login Issue,Critical,64,3,2024-01-02
119,265,Performance,Medium,17,2,2023-05-26
120,47914,Performance,Low,19,2,2023-07-05
121,33489,Account Access,Medium,24,2,2023-11-17
122,21256,Billing,High,18,4,2022-05-04
123,11954,Account Access,Critical,42,4,2024-07-03
124,48930,Billing,High,3,2,2024-04-12
125,27050,Billing,Critical,5,2,2023-04-28
126,23745,Feature Request,Critical,13,4,2022-11-07
127,12017,Login Issue,Low,60,3,2022-07-25
128,279,Billing,High,11,1,2022-11-30
129,19855,Bug Report,Medium,50,3,2023-03-20
130,6426,Login Issue,High,61,1,2022-04-08
131,42561,Account Access,Critical,39,1,2025-02-27
132,31449,Account Access,Low,46,2,2023-11-03
133,49629,Feature Request,Low,49,4,2024-04-26
134,17351,Bug Report,Critical,51,3,2025-03-03
135,25343,Performance,High,4,3,2023-04-22
136,862,Performance,Medium,10,3,2023-12-04
137,27441,Billing,High,69,1,2025-02-12
138,3011,Bug Report,High,34,5,2024-01-17
139,27969,Feature Request,Critical,13,2,2025-02-08
140,14593,Login Issue,High,55,3,2024-08-04
141,37112,Bug Report,Low,4,4,2022-01-18
142,41120,Account Access,Low,71,2,2022-05-14
143,26800,Bug Report,High,61,3,2023-01-26
144,26471,Account Access,Low,64,1,2024-02-10
145,46257,Login Issue,High,6,4,2025-04-15
146,16776,Billing,Low,32,3,2023-08-10
147,20724,Account Access,Low,3,4,2024-12-12
148,6151,Billing,Medium,21,5,2022-03-27
149,37234,Login Issue,High,72,4,2023-05-09
150,10610,Bug Report,Critical,32,3,2024-07-04
151,49103,Billing,Critical,18,3,2024-05-03
152,14863,Login Issue,High,48,4,2025-01-03
153,37054,Login Issue,Medium,37,5,2023-07-04
154,38674,Bug Report,High,51,1,2024-06-11
155,48148,Bug Report,Medium,30,2,2023-07-23
156,37937,Billing,Critical,25,5,2024-06-19
157,34050,Feature Request,High,55,4,2022-02-28
158,14503,Account Access,Low,14,3,2024-11-14
159,21793,Feature Request,Medium,66,4,2023-10-06
160,15661,Login Issue,High,45,1,2022-09-21
161,44746,Account Access,Low,28,2,2023-11-15
162,28328,Account Access,Critical,33,5,2023-07-27
163,28582,Login Issue,High,26,3,2024-06-09
164,24800,Login Issue,Low,34,2,2022-06-29
165,26301,Feature Request,Medium,39,2,2024-04-10
166,27993,Bug Report,High,20,4,2023-07-25
167,41103,Bug Report,Medium,41,1,2022-07-19
168,1345,Billing,Critical,49,5,2024-05-06
169,31372,Bug Report,Low,29,3,2023-03-07
170,3171,Bug Report,Critical,47,2,2022-02-03
171,13414,Feature Request,Low,31,3,2022-01-05
172,25266,Feature Request,Low,19,5,2024-01-12
173,30176,Feature Request,High,63,4,2022-09-28
174,19044,Billing,Low,60,2,2022-09-29
175,1072,Bug Report,Low,58,3,2022-06-03
176,47157,Performance,Critical,47,4,2023-03-15
177,39309,Login Issue,Medium,43,2,2022-09-12
178,22969,Account Access,Medium,1,3,2023-10-07
179,4011,Feature Request,Critical,42,1,2023-09-20
180,37824,Bug Report,Medium,21,3,2022-04-16
181,15105,Performance,High,14,3,2025-04-05
182,38702,Performance,High,50,5,2025-04-08
183,25100,Billing,Medium,12,1,2022-02-12
184,22094,Login Issue,Medium,58,1,2023-07-28
185,12292,Account Access,Medium,44,2,2023-03-31
186,9111,Billing,Medium,1,3,2025-02-07
187,48619,Account Access,Medium,68,4,2023-11-02
188,1507,Bug Report,High,21,3,2022-04-20
189,1099,Billing,Medium,69,5,2024-12-11
190,24078,Login Issue,Low,68,1,2024-05-01
191,40312,Performance,Critical,46,1,2022-12-29
192,24821,Billing,Low,44,3,2022-05-16
193,18579,Feature Request,Medium,63,4,2023-10-31
194,7022,Account Access,High,54,5,2022-11-22
195,28860,Bug Report,Critical,52,5,2023-06-26
196,37692,Bug Report,Medium,20,2,2023-07-26
197,15171,Bug Report,Critical,52,4,2025-01-25
198,37359,Feature Request,Critical,4,1,2024-07-02
199,7924,Login Issue,Medium,66,2,2023-06-16
200,26666,Billing,Low,7,4,2022-12-06
201,25954,Login Issue,Medium,49,1,2022-10-07
202,31687,Performance,High,39,2,2022-12-03
203,9535,Billing,Critical,59,1,2023-10-24
204,23052,Bug Report,Low,11,2,2024-03-22
205,8316,Feature Request,Low,56,5,2023-08-03
206,36155,Login Issue,Critical,36,3,2022-02-07
207,43181,Account Access,Critical,46,2,2022-07-04
208,25315,Login Issue,Low,3,4,2024-10-16
209,15187,Billing,Low,43,2,2022-07-11
210,6492,Billing,Low,29,2,2022-02-28
211,1411,Login Issue,High,32,4,2024-08-01
212,6756,Bug Report,Low,64,4,2023-06-05
213,1211,Performance,Medium,5,1,2022-12-11
214,40216,Account Access,Medium,8,4,2024-10-08
215,35156,Billing,Critical,55,2,2022-11-21
216,27455,Performance,High,68,3,2023-01-06
217,26541,Bug Report,Low,48,4,2023-12-27
218,18571,Account Access,Critical,10,2,2024-05-29
219,1348,Bug Report,Critical,57,2,2022-05-29
220,20160,Account Access,High,42,2,2024-06-03
221,38469,Account Access,Critical,30,1,2023-06-07
222,47045,Feature Request,Critical,12,4,2024-11-05
223,33570,Login Issue,Low,55,5,2024-02-16
224,18658,Feature Request,Critical,20,4,2024-07-28
225,37418,Billing,Medium,64,2,2023-05-31
226,21946,Feature Request,Medium,30,3,2023-06-07
227,25640,Feature Request,High,37,3,2024-04-08
228,35114,Billing,High,7,4,2024-06-25
229,14586,Billing,High,30,2,2022-11-23
230,2927,Login Issue,High,55,4,2023-11-12
231,14833,Login Issue,Medium,48,2,2022-12-10
232,2836,Feature Request,High,18,4,2022-05-28
233,20410,Bug Report,Critical,48,5,2023-08-12
234,22309,Bug Report,Medium,10,5,2022-01-29
235,34960,Login Issue,Low,49,2,2025-02-13
236,16220,Bug Report,Critical,47,3,2024-08-20
237,29585,Billing,Medium,5,5,2023-05-10
238,12560,Bug Report,Critical,54,2,2025-03-12
239,39105,Billing,Medium,23,4,2022-07-08
240,15113,Login Issue,High,58,4,2022-12-16
241,47817,Billing,Medium,14,4,2022-09-22
242,45580,Bug Report,High,1,2,2022-11-01
243,10451,Performance,High,16,1,2022-11-29
244,49944,Login Issue,High,40,4,2023-04-02
245,19136,Billing,Low,17,3,2023-07-17
246,15994,Billing,Critical,41,2,2024-04-18
247,9024,Billing,Low,71,2,2024-11-26
248,2866,Billing,Critical,32,2,2022-01-22
249,16230,Performance,Low,34,4,2023-06-07
250,38133,Performance,Medium,20,4,2023-04-08
251,21129,Billing,Critical,61,5,2022-08-29
252,3943,Feature Request,High,62,2,2024-02-25
253,32147,Bug Report,Medium,59,2,2023-08-08
254,45276,Account Access,Low,58,2,2022-02-23
255,45618,Feature Request,High,8,4,2022-12-25
256,9273,Bug Report,Low,55,1,2022-11-28
257,11883,Login Issue,High,54,3,2025-04-02
258,37464,Bug Report,High,47,5,2022-07-25
259,27338,Bug Report,Critical,12,5,2023-08-01
260,20016,Account Access,Medium,68,5,2023-09-23
261,27683,Performance,High,1,1,2022-10-18
262,30959,Performance,Critical,36,5,2024-10-22
263,31059,Login Issue,High,51,5,2023-03-08
264,14018,Login Issue,Low,1,5,2024-03-11
265,25613,Login Issue,Medium,19,4,2023-03-08
266,25871,Account Access,High,31,2,2022-09-03
267,27058,Performance,Medium,20,3,2025-02-21
268,32030,Performance,Low,44,1,2022-12-18
269,27051,Bug Report,Critical,70,4,2024-07-31
270,24195,Feature Request,Critical,53,1,2025-02-23
271,40670,Login Issue,Medium,41,4,2023-01-01
272,25065,Billing,High,9,4,2024-06-02
273,8930,Billing,High,49,4,2023-11-20
274,19665,Login Issue,Critical,13,4,2023-11-02
275,48969,Bug Report,Critical,24,1,2023-10-20
276,5126,Bug Report,Medium,10,2,2023-11-28
277,21575,Feature Request,High,2,4,2023-05-07
278,43572,Account Access,Medium,33,5,2024-10-25
279,23622,Performance,High,6,1,2025-01-20
280,4322,Performance,Low,48,3,2022-03-15
281,37824,Bug Report,Critical,41,3,2023-06-08
282,40871,Login Issue,Medium,2,1,2025-04-06
283,39956,Login Issue,Medium,14,4,2022-04-13
284,23235,Account Access,Medium,10,2,2024-10-28
285,47256,Performance,High,20,4,2024-06-02
286,34862,Login Issue,Medium,19,3,2022-07-07
287,7511,Performance,Low,63,3,2022-12-10
288,43629,Billing,Critical,64,4,2022-12-29
289,37771,Feature Request,Medium,63,3,2023-10-03
290,10221,Feature Request,Critical,69,5,2024-03-29
291,43080,Bug Report,Critical,48,1,2023-11-20
292,23806,Account Access,High,57,3,2022-04-29
293,7982,Bug Report,Critical,32,3,2023-02-16
294,11562,Feature Request,Medium,61,4,2022-10-13
295,30630,Billing,Low,69,1,2023-08-30
296,14762,Billing,Medium,21,1,2023-08-02
297,28930,Login Issue,Low,11,1,2024-08-04
298,38232,Billing,Medium,62,2,2022-01-09
299,25369,Billing,Low,14,2,2024-09-07
300,10060,Feature Request,High,3,1,2023-05-12
301,46852,Login Issue,Critical,9,1,2024-02-18
302,27944,Bug Report,Low,61,3,2024-10-12
303,42399,Performance,High,16,1,2024-10-28
304,24511,Account Access,Low,25,1,2024-03-17
305,37058,Billing,High,6,4,2023-10-04
306,8246,Login Issue,Critical,41,4,2024-09-14
307,10946,Bug Report,Medium,56,3,2023-02-05
308,31791,Bug Report,Medium,66,2,2023-11-07
309,45095,Login Issue,Critical,31,3,2023-09-26
310,34492,Login Issue,High,23,5,2024-05-13
311,13833,Bug Report,Medium,9,3,2024-05-02
312,29611,Performance,Low,16,4,2022-08-24
313,45710,Performance,High,45,2,2022-12-08
314,10485,Feature Request,Low,21,4,2023-09-27
315,20099,Billing,Critical,20,5,2023-06-25
316,30323,Account Access,Low,23,3,2025-03-01
317,43649,Billing,Critical,52,1,2022-08-21
318,36287,Feature Request,Low,11,3,2022-05-21
319,1733,Performance,Medium,56,3,2022-10-14
320,16672,Login Issue,High,34,2,2024-12-31
321,41121,Feature Request,Medium,71,5,2025-04-11
322,8906,Billing,Medium,67,2,2023-02-05
323,12727,Billing,Medium,4,4,2023-08-25
324,47484,Bug Report,Critical,3,5,2024-06-09
325,22797,Performance,Low,40,3,2022-05-14
326,24408,Performance,Medium,11,2,2022-12-03
327,28170,Billing,Low,66,4,2023-06-03
328,2537,Login Issue,Critical,7,4,2022-02-17
329,45215,Account Access,Medium,72,2,2024-09-15
330,32292,Performance,Medium,1,2,2022-12-28
331,45195,Feature Request,Medium,45,4,2024-06-03
332,17732,Account Access,High,52,1,2024-05-11
333,37407,Login Issue,High,38,5,2024-10-26
334,41021,Bug Report,Low,22,2,2025-01-06
335,4083,Performance,Medium,34,4,2022-10-03
336,22350,Login Issue,Medium,38,4,2024-10-11
337,28369,Account Access,Critical,8,1,2024-08-08
338,44173,Account Access,Critical,7,2,2023-12-09
339,4684,Performance,Critical,18,1,2023-02-01
340,29640,Performance,High,40,4,2022-09-27
341,35349,Performance,Critical,26,4,2024-03-18
342,17673,Performance,Low,46,4,2024-09-19
343,23814,Billing,Low,37,4,2022-07-24
344,18615,Performance,Critical,22,1,2022-06-04
345,47903,Feature Request,Critical,17,5,2023-02-27
346,26635,Feature Request,Medium,9,3,2024-04-19
347,5985,Account Access,Medium,72,1,2024-12-29
348,40922,Account Access,High,38,5,2022-03-28
349,38394,Feature Request,Critical,71,5,2022-12-26
350,8820,Login Issue,Medium,61,4,2024-02-21
351,23944,Performance,Medium,58,5,2023-08-19
352,39707,Bug Report,Low,27,3,2024-11-07
353,23160,Performance,Critical,22,4,2023-12-09
354,22181,Feature Request,Medium,32,5,2022-11-19
355,47986,Billing,Low,5,5,2025-01-02
356,3445,Billing,Medium,35,3,2024-12-19
357,23587,Account Access,Critical,22,5,2025-04-08
358,13105,Performance,Medium,62,3,2024-04-24
359,44683,Bug Report,Critical,63,4,2023-01-24
360,30333,Feature Request,Critical,53,1,2023-06-12
361,15526,Account Access,High,28,1,2022-08-19
362,43103,Bug Report,High,67,5,2024-12-23
363,22007,Account Access,High,24,4,2023-12-05
364,41947,Performance,Medium,25,2,2023-05-26
365,15874,Billing,High,53,3,2022-02-22
366,28712,Billing,Low,66,1,2024-04-21
367,10165,Account Access,Medium,30,3,2022-06-07
368,19969,Feature Request,Critical,43,1,2022-05-10
369,25940,Performance,High,49,2,2022-11-14
370,12711,Performance,High,36,5,2023-08-10
371,18049,Performance,Medium,60,5,2022-06-20
372,25118,Account Access,Medium,12,4,2025-04-11
373,3289,Account Access,High,8,1,2024-08-20
374,28803,Bug Report,Low,71,3,2022-12-19
375,22450,Feature Request,Critical,52,3,2023-07-17
376,6541,Login Issue,Low,54,4,2024-01-03
377,8841,Billing,Low,10,4,2024-10-30
378,35998,Feature Request,Medium,13,1,2022-07-19
379,6566,Account Access,Low,16,1,2023-10-26
380,31679,Performance,Critical,34,1,2022-12-04
381,41332,Feature Request,Low,25,1,2023-07-06
382,14949,Account Access,Critical,9,1,2024-12-24
383,26935,Account Access,High,27,1,2023-12-19
384,39806,Login Issue,Low,60,2,2023-09-01
385,19451,Bug Report,High,35,4,2022-10-01
386,315,Login Issue,Medium,48,1,2023-03-25
387,27436,Account Access,Medium,11,2,2022-06-08
388,21118,Bug Report,Medium,14,2,2023-09-03
389,8094,Feature Request,Critical,31,1,2023-09-20
390,30115,Account Access,High,32,4,2023-06-18
391,27004,Billing,High,23,4,2022-03-16
392,7739,Billing,Medium,48,1,2022-01-28
393,49863,Login Issue,Medium,2,2,2023-06-10
394,23061,Account Access,Medium,60,1,2024-02-07
395,4613,Account Access,High,48,4,2024-10-30
396,6288,Login Issue,Critical,26,4,2023-08-15
397,30430,Billing,Low,59,3,2023-09-16
398,9384,Bug Report,Critical,58,2,2024-04-11
399,24648,Account Access,Low,22,5,2022-04-20
400,38366,Bug Report,Medium,50,1,2023-06-24
401,11014,Bug Report,Low,58,3,2022-02-20
402,38240,Bug Report,Critical,44,2,2022-08-02
403,39837,Feature Request,High,29,4,2025-03-12
404,16112,Feature Request,Medium,33,4,2025-01-30
405,34601,Performance,High,67,1,2023-10-27
406,10649,Account Access,Low,3,2,2022-12-02
407,4880,Login Issue,Medium,5,2,2024-10-05
408,2752,Login Issue,Critical,60,5,2022-11-26
409,36678,Bug Report,Medium,68,2,2023-06-11
410,28599,Performance,Critical,42,4,2024-10-04
411,25036,Performance,High,43,4,2023-11-16
412,16396,Billing,Critical,9,2,2022-08-26
413,25714,Performance,High,41,5,2022-08-19
414,1586,Bug Report,High,68,2,2022-11-05
415,17624,Billing,Critical,39,3,2022-08-22
416,14948,Performance,Low,24,2,2022-09-03
417,48445,Bug Report,Low,24,2,2023-02-23
418,47911,Performance,Low,72,3,2024-11-03
419,9085,Billing,High,59,3,2023-06-27
420,19214,Performance,Medium,67,4,2024-02-16
421,42050,Account Access,High,11,3,2022-08-20
422,9344,Login Issue,Low,31,1,2023-08-10
423,28253,Bug Report,Medium,41,5,2023-03-28
424,37627,Feature Request,Critical,59,1,2025-03-10
425,48046,Performance,High,61,5,2023-05-29
426,20334,Login Issue,Low,11,5,2022-08-13
427,46592,Bug Report,Critical,51,5,2024-06-23
428,37723,Feature Request,Critical,21,1,2025-03-19
429,38290,Account Access,Medium,8,1,2023-11-11
430,31268,Performance,Medium,72,1,2023-02-02
431,26761,Account Access,Critical,39,5,2023-02-04
432,48884,Account Access,High,3,2,2024-12-10
433,24241,Performance,High,50,3,2023-06-07
434,7786,Feature Request,Critical,42,2,2024-12-08
435,3162,Account Access,Critical,2,4,2022-04-25
436,38851,Billing,Low,22,5,2022-12-02
437,16329,Bug Report,High,20,5,2023-12-06
438,14678,Login Issue,High,57,2,2023-01-20
439,10613,Login Issue,Critical,54,2,2023-03-26
440,10148,Login Issue,Medium,25,2,2023-03-20
441,1043,Login Issue,Critical,9,2,2024-01-01
442,20767,Feature Request,Low,29,2,2024-01-19
443,7578,Account Access,Low,6,1,2022-11-13
444,46653,Billing,Critical,27,1,2024-11-15
445,16475,Bug Report,High,71,2,2023-10-29
446,34584,Account Access,High,21,1,2024-05-24
447,10839,Bug Report,Medium,55,1,2023-09-30
448,22226,Bug Report,Critical,59,2,2022-03-19
449,31019,Feature Request,Medium,21,5,2023-01-08
450,44517,Billing,Low,35,4,2024-02-28
451,11334,Performance,Low,55,2,2024-01-28
452,47249,Feature Request,Medium,25,5,2025-01-30
453,28060,Billing,Critical,40,3,2025-03-25
454,25694,Account Access,Low,36,2,2022-02-01
455,34545,Feature Request,Low,52,2,2023-08-23
456,21447,Feature Request,High,31,3,2022-11-20
457,36430,Login Issue,Low,41,5,2023-08-22
458,27394,Account Access,Low,58,4,2022-09-05
459,22937,Billing,Medium,49,4,2023-03-16
460,12257,Account Access,Medium,49,2,2024-08-15
461,406,Feature Request,High,13,3,2025-01-13
462,26693,Account Access,Low,13,1,2024-01-17
463,7217,Performance,Low,13,3,2023-03-13
464,14361,Billing,Critical,37,1,2022-01-25
465,45661,Account Access,High,48,1,2023-06-19
466,27481,Billing,High,3,4,2023-05-16
467,36509,Account Access,Critical,23,3,2024-06-11
468,6420,Account Access,High,54,3,2022-12-27
469,15091,Account Access,High,52,4,2024-09-12
470,16424,Bug Report,High,14,5,2024-08-12
471,7922,Account Access,Medium,71,5,2023-03-11
472,11058,Account Access,High,57,5,2023-06-15
473,33418,Bug Report,Critical,54,2,2024-07-02
474,11584,Account Access,High,33,3,2022-07-01
475,41237,Feature Request,Low,66,3,2023-06-29
476,39713,Performance,Low,22,3,2024-01-23
477,48237,Performance,Medium,32,3,2024-02-26
478,6555,Performance,Low,15,3,2022-08-04
479,19498,Login Issue,High,34,1,2023-12-04
480,34389,Account Access,Medium,19,3,2024-10-31
481,22627,Login Issue,Medium,63,1,2022-03-25
482,30740,Feature Request,Medium,38,4,2023-09-14
483,48984,Account Access,Critical,45,2,2023-11-20
484,22616,Performance,Medium,37,4,2023-11-02
485,49251,Bug Report,Medium,65,4,2022-11-11
486,46901,Bug Report,Medium,32,1,2024-08-20
487,11658,Account Access,Low,48,3,2023-05-11
488,43855,Feature Request,Low,45,4,2023-11-16
489,36109,Login Issue,Critical,45,3,2023-07-02
490,16887,Billing,Critical,67,5,2024-09-05
491,46966,Performance,High,30,3,2024-06-27
492,14978,Bug Report,Critical,42,2,2025-02-02
493,13953,Performance,Low,21,5,2024-07-11
494,49553,Account Access,Low,17,2,2022-08-09
495,11712,Login Issue,Low,13,2,2024-11-01
496,41133,Performance,High,41,4,2023-11-21
497,46718,Login Issue,Low,32,4,2022-04-03
498,9352,Login Issue,High,34,1,2022-04-04
499,14023,Login Issue,Critical,17,5,2024-07-17
500,42351,Account Access,Critical,70,4,2023-06-05
501,35958,Login Issue,Medium,5,4,2024-11-06
502,26130,Login Issue,Critical,12,1,2022-12-12
503,862,Performance,Critical,10,1,2022-11-28
504,26371,Login Issue,High,21,4,2024-12-12
505,42627,Feature Request,Medium,3,4,2022-04-01
506,17811,Performance,Critical,72,5,2022-06-16
507,29190,Account Access,Medium,24,4,2024-01-16
508,26161,Login Issue,Medium,69,5,2022-09-24
509,29157,Billing,Critical,55,3,2025-02-13
510,19194,Performance,High,47,2,2023-06-23
511,4460,Account Access,High,14,4,2022-08-26
512,20416,Performance,High,42,3,2022-06-12
513,3834,Performance,High,4,3,2022-01-16
514,45025,Performance,Critical,61,1,2025-02-02
515,17843,Account Access,Critical,25,4,2022-09-09
516,17991,Bug Report,High,72,5,2024-09-24
517,2888,Account Access,Critical,8,4,2022-12-04
518,29141,Login Issue,Medium,40,2,2023-12-16
519,29813,Login Issue,High,65,2,2022-02-07
520,4608,Performance,Critical,19,1,2024-03-23
521,42941,Login Issue,Medium,69,5,2022-10-25
522,7039,Login Issue,Low,70,3,2024-10-12
523,13052,Bug Report,High,15,3,2022-05-26
524,6501,Login Issue,Low,65,1,2022-03-20
525,14787,Performance,High,36,3,2022-09-25
526,38612,Performance,Critical,72,4,2024-01-22
527,37377,Billing,High,61,2,2022-06-27
528,27669,Login Issue,Critical,35,3,2022-07-27
529,13613,Feature Request,High,23,4,2024-07-21
530,21990,Account Access,Low,37,1,2022-11-11
531,22652,Login Issue,Low,47,5,2022-07-23
532,26506,Bug Report,Low,45,1,2022-11-12
533,7037,Account Access,Critical,32,2,2022-05-04
534,41116,Billing,Medium,68,1,2023-03-30
535,7510,Login Issue,Critical,12,1,2024-07-18
536,45871,Bug Report,Low,32,5,2023-11-18
537,44060,Feature Request,Medium,37,3,2024-04-17
538,45401,Billing,High,45,3,2022-06-02
539,18720,Performance,Medium,37,5,2022-04-24
540,13568,Bug Report,High,17,5,2022-01-22
541,42587,Account Access,Critical,54,1,2022-02-03
542,27899,Performance,Critical,5,5,2023-06-02
543,24143,Login Issue,Medium,7,3,2025-01-24
544,3377,Login Issue,Low,10,4,2023-03-28
545,26295,Feature Request,Low,45,2,2024-01-29
546,17741,Login Issue,High,35,1,2025-02-18
547,7965,Login Issue,Low,67,2,2023-09-07
548,24995,Account Access,Medium,52,4,2024-02-29
549,23562,Bug Report,Critical,32,2,2025-01-16
550,36241,Account Access,Low,39,3,2023-05-03
551,9339,Account Access,High,46,5,2023-06-27
552,31333,Feature Request,Low,67,1,2024-04-07
553,22664,Billing,High,7,2,2024-06-27
554,13317,Account Access,High,51,4,2024-04-29
555,42032,Feature Request,Low,48,3,2024-09-26
556,1332,Bug Report,Low,27,2,2024-11-16
557,15065,Bug Report,Critical,41,3,2024-12-25
558,30269,Billing,Critical,61,3,2024-09-24
559,15400,Bug Report,High,23,3,2023-07-02
560,5073,Account Access,Medium,20,4,2025-03-11
561,3628,Account Access,High,41,3,2025-04-04
562,3547,Performance,Medium,3,4,2022-05-29
563,47084,Billing,Medium,28,5,2024-07-13
564,4239,Account Access,High,67,2,2022-08-06
565,46493,Login Issue,Critical,20,5,2025-03-05
566,37334,Account Access,High,33,1,2023-08-06
567,44552,Bug Report,High,51,2,2023-11-25
568,46087,Bug Report,Medium,65,2,2024-08-19
569,20843,Account Access,Medium,3,4,2022-12-20
570,17786,Billing,Low,64,5,2023-01-05
